https://dl.acm.org/doi/abs/10.1145/3411764.3445653,Tools, Tricks, and Hacks: Exploring Novel Digital Fabrication Workflows on #PlotterTwitter,https://github.com/beardicus/awesome-plotters#readme,Plotters error: <HTTPError 403: 'Forbidden'> | reason: Forbidden
https://www.gnu.org/software/hp2xx,hp2xx,https://github.com/beardicus/awesome-plotters#readme,Plotters error: <HTTPError 403: 'Forbidden'> | reason: Forbidden
https://www.researchgate.net/publication/338896073_Vera_Molnar's_Computer_Paintings,Vera Molnar's Computer Paintings,https://github.com/beardicus/awesome-plotters#readme,Plotters error: <HTTPError 403: 'Forbidden'> | reason: Forbidden
https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=5345111,IEEE Electronic Systems News Autumn (1985),https://github.com/beardicus/awesome-plotters#readme,Plotters error: <HTTPError 404: 'Not Found'> | reason: Not Found
https://www.nycresistor.com/2017/12/29/pulling-teeth-from-a-corpse-extracting-the-vector-font-from-the-apple-410-color-plotter/,Pulling Teeth From a Corpse: Extracting the Vector Font From the Apple 410 Color Plotter,https://github.com/beardicus/awesome-plotters#readme,Plotters error: <HTTPError 403: 'Forbidden'> | reason: Forbidden
https://liciahe.medium.com/300-days-with-plotters-14159ab64034,300 Days with Plotters,https://github.com/beardicus/awesome-plotters#readme,Plotters error: <HTTPError 403: 'Forbidden'> | reason: Forbidden
https://store.pedroalcocer.com/,Pedro Alcocer,https://github.com/beardicus/awesome-plotters#readme,Plotters error: <HTTPError 404: 'Not Found'> | reason: Not Found
https://www.nycresistor.com/2017/12/13/reviving-the-apple-410-color-plotter/,Reviving the Apple 410 Color Plotter,https://github.com/beardicus/awesome-plotters#readme,Plotters error: <HTTPError 403: 'Forbidden'> | reason: Forbidden
https://www.glkitty.com/pages/orbistertius.html,Orbis Tertius,https://github.com/beardicus/awesome-plotters#readme,Plotters error: URLError(SSLError(1, '[SSL: TLSV1_ALERT_INTERNAL_ERROR] tlsv1 alert internal error (_ssl.c:1018)')) | reason: [SSL: TLSV1_ALERT_INTERNAL_ERROR] tlsv1 alert internal error (_ssl.c:1018)
https://blog.protoneer.co.nz/arduino-cnc-shield,Arduino CNC Shield,https://github.com/beardicus/awesome-plotters#readme,Plotters error: RemoteDisconnected('Remote end closed connection without response') | reason: 
https://wiki.protoneer.co.nz/Raspberry_Pi_CNC,Raspberry Pi CNC Hat,https://github.com/beardicus/awesome-plotters#readme,Plotters error: RemoteDisconnected('Remote end closed connection without response') | reason: 
https://emergentdesign.bigcartel.com/products,EmergentDesign,https://github.com/beardicus/awesome-plotters#readme,Plotters error: <HTTPError 404: 'Not Found'> | reason: Not Found
https://www.diymachines.co.uk/arduino-cnc-drawing-machine,Arduino CNC Drawing Machine,https://github.com/beardicus/awesome-plotters#readme,Plotters error: <HTTPError 403: 'Forbidden'> | reason: Forbidden
https://www.artxcode.io/journal/marcel-schwittlick-the-long-run,Marcel Schwittlick and The Long Run,https://github.com/beardicus/awesome-plotters#readme,Plotters error: <HTTPError 404: 'Not Found'> | reason: Not Found
https://www.jstor.org/stable/1573236,Toward Aesthetic Guidelines for Paintings with the Aid of a Computer (1975) (paywall),https://github.com/beardicus/awesome-plotters#readme,Plotters error: <HTTPError 403: 'Forbidden'> | reason: Forbidden
https://onlinelibrary.wiley.com/doi/pdf/10.1002/adem.202300226,Pen Plotter as a Low-Cost Platform for Rapid Device Prototyping with Solution-Processable Nanomaterials (2023) (PDF),https://github.com/beardicus/awesome-plotters#readme,Plotters error: <HTTPError 403: 'Forbidden'> | reason: Forbidden
https://www.artxcode.io/journal/lars-wander-interview,Lars Wander and Mixing Paint With Code,https://github.com/beardicus/awesome-plotters#readme,Plotters error: <HTTPError 404: 'Not Found'> | reason: Not Found
https://www.proquest.com/docview/2791602751?sourcetype=Scholarly%20Journals,Preparation of V2O5 Thin Film by Sol–Gel Technique and Pen Plotter Printing,https://github.com/beardicus/awesome-plotters#readme,Plotters error: <HTTPError 302: 'The HTTP server returned a redirect error that would lead to an infinite loop.\nThe last 30x error message was:\n302'> | reason: The HTTP server returned a redirect error that would lead to an infinite loop.
The last 30x error message was:
302
https://mitxela.com/plotterfun/,PlotterFun,https://github.com/beardicus/awesome-plotters#readme,Plotters error: TimeoutError('The read operation timed out') | reason: 
https://archive.org/details/Hewlett-Packard_Journal_Vol._33_No._12_1982-12_Hewlett-Packard,Hewlett-Packard Journal Volume 33 Number 12 (1982),https://github.com/beardicus/awesome-plotters#readme,Plotters error: TimeoutError('The read operation timed out') | reason: 
https://archive.org/details/HP7475AInterfacingandProgrammingManual,HP 7475A Interfacing and Programming Manual,https://github.com/beardicus/awesome-plotters#readme,Plotters error: TimeoutError('The read operation timed out') | reason: 
https://archive.org/details/houston-instrument-dmp-160-series-plotters-operation-manual,Houston Instrument DMP-160 Plotter Operation Manual,https://github.com/beardicus/awesome-plotters#readme,Plotters error: TimeoutError('The read operation timed out') | reason: 
https://archive.org/details/hi-dmp-41-42-brochure,Houston Instrument DMP-41 and DMP-42 Plotters Brochure,https://github.com/beardicus/awesome-plotters#readme,Plotters error: TimeoutError('The read operation timed out') | reason: 
https://archive.org/details/rotring_NC-scriber_CS_50_Operating_Instructions,Rotring NC-scriber CS 50 Operating Instructions (1989),https://github.com/beardicus/awesome-plotters#readme,Plotters error: TimeoutError('The read operation timed out') | reason: 
https://archive.org/details/lp-2002-betriebsanleitung/,(Unknown Brand) LP 2002 Photo Plotter Attachment Operating Manual (German),https://github.com/beardicus/awesome-plotters#readme,Plotters error: TimeoutError('The read operation timed out') | reason: 
