http://resources.infosecinstitute.com/top-50-information-security-interview-questions/,Top 50 Information Security Interview Questions for freshers and experts,https://github.com/DopplerHQ/awesome-interview-questions#readme,Programming Interviews error: URLError(gaierror(11001, 'getaddrinfo failed')) | reason: [Errno 11001] getaddrinfo failed
http://www.rajeshg.me/2013/05/sharepoint-developer-2010-interview.html,Sharepoint Interview Question For Developer,https://github.com/DopplerHQ/awesome-interview-questions#readme,Programming Interviews error: URLError(gaierror(11001, 'getaddrinfo failed')) | reason: [Errno 11001] getaddrinfo failed
http://www.tutorialspoint.com/cprogramming/cprogramming_interview_questions.htm,C Programming Interview Questions have been designed specially to get you acquainted with the nature of questions you may encounter during your interview for the subject of C Programming,https://github.com/DopplerHQ/awesome-interview-questions#readme,Programming Interviews error: <HTTPError 403: 'Forbidden'> | reason: Forbidden
http://www.javatpoint.com/html-interview-questions,Common HTML interview questions for freshers,https://github.com/DopplerHQ/awesome-interview-questions#readme,Programming Interviews error: URLError(gaierror(11002, 'getaddrinfo failed')) | reason: [Errno 11002] getaddrinfo failed
https://www.javatpoint.com/ruby-interview-questions,Frequently Asked Ruby Interview Questions,https://github.com/DopplerHQ/awesome-interview-questions#readme,Programming Interviews error: URLError(gaierror(11002, 'getaddrinfo failed')) | reason: [Errno 11002] getaddrinfo failed
https://www.javatpoint.com/redis-interview-questions-and-answers,Redis Interview Questions from Javapoint,https://github.com/DopplerHQ/awesome-interview-questions#readme,Programming Interviews error: URLError(gaierror(11002, 'getaddrinfo failed')) | reason: [Errno 11002] getaddrinfo failed
http://www.coolinterview.com/type.asp?iType=411,PostgreSQL Interview Q&A from CoolInterview.com,https://github.com/DopplerHQ/awesome-interview-questions#readme,Programming Interviews error: <HTTPError 403: 'Forbidden'> | reason: Forbidden
http://www.javatpoint.com/corejava-interview-questions,300 Core Java Interview Questions,https://github.com/DopplerHQ/awesome-interview-questions#readme,Programming Interviews error: URLError(gaierror(11002, 'getaddrinfo failed')) | reason: [Errno 11002] getaddrinfo failed
http://www.tutorialspoint.com/design_pattern/design_pattern_interview_questions.htm,Design Pattern Interview Questions that have been designed specially to get you acquainted with the nature of questions you may encounter during your interview for the subject of Design Pattern,https://github.com/DopplerHQ/awesome-interview-questions#readme,Programming Interviews error: <HTTPError 403: 'Forbidden'> | reason: Forbidden
https://www.dezyre.com/article/-data-science-interview-questions-for-top-tech-companies/189,Data Science Interview Questions for Top Tech Companies,https://github.com/DopplerHQ/awesome-interview-questions#readme,Programming Interviews error: URLError(SSLCertVerificationError(1, '[SSL: CERTIFICATE_VERIFY_FAILED] certificate verify failed: certificate has expired (_ssl.c:1018)')) | reason: [SSL: CERTIFICATE_VERIFY_FAILED] certificate verify failed: certificate has expired (_ssl.c:1018)
https://www.upwork.com/i/interview-questions/ios/,10 iOS interview questions and answers,https://github.com/DopplerHQ/awesome-interview-questions#readme,Programming Interviews error: <HTTPError 403: 'Forbidden'> | reason: Forbidden
https://www.wisdomjobs.com/e-university/rust-programming-language-interview-questions.html,Top 250+ Rust Programming Language Interview Questions,https://github.com/DopplerHQ/awesome-interview-questions#readme,Programming Interviews error: <HTTPError 436: 'status code 436'> | reason: status code 436
https://www.wisdomjobs.com/e-university/redis-interview-questions-answers.html,Redis Interview Questions from Wisdomjobs,https://github.com/DopplerHQ/awesome-interview-questions#readme,Programming Interviews error: <HTTPError 436: 'status code 436'> | reason: status code 436
https://www.interviewbit.com/c-sharp-interview-questions/,30+ C# Interview Questions,https://github.com/DopplerHQ/awesome-interview-questions#readme,Programming Interviews error: <HTTPError 404: 'Not Found'> | reason: Not Found
https://www.interviewbit.com/java-interview-questions/,Fundamental Java Interview Questions,https://github.com/DopplerHQ/awesome-interview-questions#readme,Programming Interviews error: <HTTPError 404: 'Not Found'> | reason: Not Found
https://www.upwork.com/i/interview-questions/ruby-on-rails/,10 Ruby on Rails interview questions and answers,https://github.com/DopplerHQ/awesome-interview-questions#readme,Programming Interviews error: <HTTPError 403: 'Forbidden'> | reason: Forbidden
http://thatjsdude.com/interview/js1.html,JS: Interview Algorithm,https://github.com/DopplerHQ/awesome-interview-questions#readme,Programming Interviews error: <HTTPError 404: 'Not Found'> | reason: Not Found
https://towardsdatascience.com/top-30-data-science-interview-questions-7dd9a96d3f5c,Top 30 data science interview questions,https://github.com/DopplerHQ/awesome-interview-questions#readme,Programming Interviews error: <HTTPError 403: 'Forbidden'> | reason: Forbidden
https://www.codementor.io/javascript/tutorial/21-essential-javascript-tech-interview-practice-questions-answers,21 Essential JavaScript Interview Questions from best mentors all over the world,https://github.com/DopplerHQ/awesome-interview-questions#readme,Programming Interviews error: <HTTPError 404: 'Not Found'> | reason: Not Found
https://intellipaat.com/interview-question/docker-interview-questions/,Top Docker Interview Questions And Answers,https://github.com/DopplerHQ/awesome-interview-questions#readme,Programming Interviews error: <HTTPError 404: 'Not Found'> | reason: Not Found
http://www.javatpoint.com/mysql-interview-questions,28 MySQL interview questions from JavaTPoint.com,https://github.com/DopplerHQ/awesome-interview-questions#readme,Programming Interviews error: URLError(gaierror(11002, 'getaddrinfo failed')) | reason: [Errno 11002] getaddrinfo failed
https://www.interviewbit.com/html-interview-questions/,30+ HTML Interview Questions (2021),https://github.com/DopplerHQ/awesome-interview-questions#readme,Programming Interviews error: <HTTPError 404: 'Not Found'> | reason: Not Found
http://www.testingbrain.com/interview/mysql-interview-questions.html,40 Basic MySQL Interview Questions with Answers,https://github.com/DopplerHQ/awesome-interview-questions#readme,Programming Interviews error: <HTTPError 404: 'Not Found'> | reason: Not Found
https://www.wisdomjobs.com/e-university/docker-software-interview-questions.html,DOCKER (SOFTWARE) INTERVIEW QUESTIONS & ANSWERS,https://github.com/DopplerHQ/awesome-interview-questions#readme,Programming Interviews error: <HTTPError 436: 'status code 436'> | reason: status code 436
https://www.talkingdotnet.com/asp-net-core-interview-questions/,ASP.NET Core Interview Questions,https://github.com/DopplerHQ/awesome-interview-questions#readme,Programming Interviews error: <HTTPError 404: 'Not Found'> | reason: Not Found
https://www.linuxfoundation.org/blog/2015/07/10-job-interview-questions-for-linux-system-administrators/,10 Job Interview Questions for Linux System Administrators from Linux.com,https://github.com/DopplerHQ/awesome-interview-questions#readme,Programming Interviews error: <HTTPError 404: 'Not Found'> | reason: Not Found
https://www.onlineinterviewquestions.com/typescript-interview-questions,Typescript Interview Questions,https://github.com/DopplerHQ/awesome-interview-questions#readme,Programming Interviews error: URLError(ConnectionRefusedError(10061, 'No connection could be made because the target machine actively refused it', None, 10061, None)) | reason: [WinError 10061] No connection could be made because the target machine actively refused it
http://www.tutorialspoint.com/android/android_interview_questions.htm,A great list of Android interview questions covering all the aspects of this career,https://github.com/DopplerHQ/awesome-interview-questions#readme,Programming Interviews error: <HTTPError 403: 'Forbidden'> | reason: Forbidden
https://www.interviewbit.com/data-structure-interview-questions/,What is Data Structure? | Top 40 Data Structure Interview Questions,https://github.com/DopplerHQ/awesome-interview-questions#readme,Programming Interviews error: <HTTPError 404: 'Not Found'> | reason: Not Found
