https://hub.docker.com/r/eprosima/micro-xrce-dds-agent/,Micro XRCE-DDS Agent docker,https://github.com/fkromer/awesome-ros2#readme,Robot Operating System 2.0 error: <HTTPError 404: 'Not Found'> | reason: Not Found
https://www.udemy.com/course/ros-2-new-features/,ROS 2 New Features: Skill-up with the latest features of Robot Operating System 2  (Udemy),https://github.com/fkromer/awesome-ros2#readme,Robot Operating System 2.0 error: <HTTPError 404: 'Not Found'> | reason: Not Found
http://repo.ros2.org/status_page/ros_bouncy_default.html,Bouncy package status,https://github.com/fkromer/awesome-ros2#readme,Robot Operating System 2.0 error: <HTTPError 404: 'Not Found'> | reason: Not Found
http://repo.ros2.org/status_page/ros_ardent_default.html,Ardent package status,https://github.com/fkromer/awesome-ros2#readme,Robot Operating System 2.0 error: <HTTPError 404: 'Not Found'> | reason: Not Found
http://download.ros.org/downloads/roscon/2022/How%20custom%20tasks%20are%20defined,%20assigned,%20and%20executed%20in%20Open-RMF.pdf,slides,https://github.com/fkromer/awesome-ros2#readme,Robot Operating System 2.0 error: <HTTPError 404: 'Not Found'> | reason: Not Found
https://www.tngtech.com/fileadmin/Public/Images/BigTechday/BTD11/Folien/ROS2.pdf,Slides,https://github.com/fkromer/awesome-ros2#readme,Robot Operating System 2.0 error: <HTTPError 404: 'Not Found'> | reason: Not Found
http://download.ros.org/downloads/roscon/2022/Evolving%20Message%20Types,%20and%20Other%20Interfaces,%20Over%20Time.pdf,slides,https://github.com/fkromer/awesome-ros2#readme,Robot Operating System 2.0 error: <HTTPError 404: 'Not Found'> | reason: Not Found
https://discourse.ros.org/c/ng-ros,ROS Discourse,https://github.com/fkromer/awesome-ros2#readme,Robot Operating System 2.0 error: <HTTPError 404: 'Not Found'> | reason: Not Found
http://journals.sagepub.com/doi/pdf/10.1177/1729881418770011,Robot Operating System 2 - The need for a holistic security approach to robotic architectures,https://github.com/fkromer/awesome-ros2#readme,Robot Operating System 2.0 error: <HTTPError 403: 'Forbidden'> | reason: Forbidden
https://answers.ros.org/questions/scope:all/sort:activity-desc/tags:ROS2/,ROS Answers,https://github.com/fkromer/awesome-ros2#readme,Robot Operating System 2.0 error: <HTTPError 404: 'Not Found'> | reason: Not Found
https://www.freedomrobotics.ai/blog/link-ros-cloud-logging-for-ros,Link ROS,https://github.com/fkromer/awesome-ros2#readme,Robot Operating System 2.0 error: URLError(SSLError(1, '[SSL: SSLV3_ALERT_HANDSHAKE_FAILURE] sslv3 alert handshake failure (_ssl.c:1018)')) | reason: [SSL: SSLV3_ALERT_HANDSHAKE_FAILURE] sslv3 alert handshake failure (_ssl.c:1018)
https://roscon.jp/2018/presentations/ROSCon_JP_2018_presentation_2.pdf,Slides,https://github.com/fkromer/awesome-ros2#readme,Robot Operating System 2.0 error: URLError(SSLCertVerificationError(5, '[SSL: CERTIFICATE_VERIFY_FAILED] certificate verify failed: unable to get local issuer certificate (_ssl.c:1018)')) | reason: [SSL: CERTIFICATE_VERIFY_FAILED] certificate verify failed: unable to get local issuer certificate (_ssl.c:1018)
https://de.mathworks.com/help/ros/index.html,MathWorks,https://github.com/fkromer/awesome-ros2#readme,Robot Operating System 2.0 error: <HTTPError 403: 'Forbidden'> | reason: Forbidden
https://missionrobotics.us/,Mission Robotics,https://github.com/fkromer/awesome-ros2#readme,Robot Operating System 2.0 error: <HTTPError 403: 'Forbidden'> | reason: Forbidden
https://roboception.com/en/,Roboception GmbH,https://github.com/fkromer/awesome-ros2#readme,Robot Operating System 2.0 error: <HTTPError 404: 'Not Found'> | reason: Not Found
https://roboox.co/,ROBOOX,https://github.com/fkromer/awesome-ros2#readme,Robot Operating System 2.0 error: URLError(gaierror(11001, 'getaddrinfo failed')) | reason: [Errno 11001] getaddrinfo failed
https://www.sony.net/SonyInfo/technology/element/robotics/,Sony Corporation,https://github.com/fkromer/awesome-ros2#readme,Robot Operating System 2.0 error: <HTTPError 403: 'Forbidden'> | reason: Forbidden
http://www.ros2.org/safety_working_group/,Safety Working Group Landing Page,https://github.com/fkromer/awesome-ros2#readme,Robot Operating System 2.0 error: <HTTPError 404: 'Not Found'> | reason: Not Found
http://www.ros2.org/safety_working_group/safety_patterns_catalogue.html,Safety Design Pattern Catalogue,https://github.com/fkromer/awesome-ros2#readme,Robot Operating System 2.0 error: <HTTPError 404: 'Not Found'> | reason: Not Found
https://www.eprosima.com/,Eprosima,https://github.com/fkromer/awesome-ros2#readme,Robot Operating System 2.0 error: URLError(OSError(10051, 'A socket operation was attempted to an unreachable network', None, 10051, None)) | reason: [WinError 10051] A socket operation was attempted to an unreachable network
https://www.ipa.fraunhofer.de/en/expertise/robot-and-assistive-systems.html,Fraunhofer Institute for Manufacturing Engineering and Automation IPA,https://github.com/fkromer/awesome-ros2#readme,Robot Operating System 2.0 error: URLError(SSLCertVerificationError(5, '[SSL: CERTIFICATE_VERIFY_FAILED] certificate verify failed: self-signed certificate in certificate chain (_ssl.c:1018)')) | reason: [SSL: CERTIFICATE_VERIFY_FAILED] certificate verify failed: self-signed certificate in certificate chain (_ssl.c:1018)
