http://www.ijrr.org/,The International Journal of Robotics Research,https://github.com/Kiloreux/awesome-robotics#readme,Robotics error: <HTTPError 403: 'Forbidden'> | reason: Forbidden
http://www.icra2017.org/conference/robot-challenges,ICRA Robot Challenges,https://github.com/Kiloreux/awesome-robotics#readme,Robotics error: URLError(gaierror(11001, 'getaddrinfo failed')) | reason: [Errno 11001] getaddrinfo failed
http://www.iros.org/,IEEE/RSJ International Conference on Intelligent Robots and Systems (IROS),https://github.com/Kiloreux/awesome-robotics#readme,Robotics error: <HTTPError 403: 'Forbidden'> | reason: Forbidden
https://cse.sc.edu/~jokane/agitr/agitr-letter.pdf,A gentle introduction to ROS,https://github.com/Kiloreux/awesome-robotics#readme,Robotics error: <HTTPError 404: 'Not Found'> | reason: Not Found
https://www.festo.com/,Festo Robotics,https://github.com/Kiloreux/awesome-robotics#readme,Robotics error: <HTTPError 403: 'Forbidden'> | reason: Forbidden
http://playerstage.sourceforge.net/,The Player Project,https://github.com/Kiloreux/awesome-robotics#readme,Robotics error: <HTTPError 403: 'Forbidden'> | reason: Forbidden
https://www.coursera.org/learn/arduino,Building Arduino robots and devices,https://github.com/Kiloreux/awesome-robotics#readme,Robotics error: <HTTPError 404: 'Not Found'> | reason: Not Found
http://ifrr.org/isrr.php,International Symposium of Robotic Research (ISRR),https://github.com/Kiloreux/awesome-robotics#readme,Robotics error: <HTTPError 404: 'Not Found'> | reason: Not Found
https://www.coursera.org/projects/ros2-intro,Introduction to The Robot Operating System (ROS2),https://github.com/Kiloreux/awesome-robotics#readme,Robotics error: <HTTPError 404: 'Not Found'> | reason: Not Found
http://projects.laas.fr/planning/,Automated Planning and Acting,https://github.com/Kiloreux/awesome-robotics#readme,Robotics error: URLError(SSLCertVerificationError(5, '[SSL: CERTIFICATE_VERIFY_FAILED] certificate verify failed: unable to get local issuer certificate (_ssl.c:1018)')) | reason: [SSL: CERTIFICATE_VERIFY_FAILED] certificate verify failed: unable to get local issuer certificate (_ssl.c:1018)
http://ifrr.org/iser.php,International Symposium of Experimental Robotics (ISER),https://github.com/Kiloreux/awesome-robotics#readme,Robotics error: <HTTPError 404: 'Not Found'> | reason: Not Found
http://www.cs.berkeley.edu/~pabbeel/cs287-fa13/,Advanced Robotics,https://github.com/Kiloreux/awesome-robotics#readme,Robotics error: <HTTPError 403: 'Forbidden'> | reason: Forbidden
http://www.ieee-ras.org/conferences-workshops/technically-co-sponsored/robotica,Robotica,https://github.com/Kiloreux/awesome-robotics#readme,Robotics error: <HTTPError 403: 'Forbidden'> | reason: Forbidden
http://wiki.roboteducation.org/Introduction_to_Computer_Science_via_Robots,Learning Computing With Robots,https://github.com/Kiloreux/awesome-robotics#readme,Robotics error: <HTTPError 404: 'Not Found'> | reason: Not Found
http://projects.laas.fr/planning/book.pdf,pdf,https://github.com/Kiloreux/awesome-robotics#readme,Robotics error: URLError(SSLCertVerificationError(5, '[SSL: CERTIFICATE_VERIFY_FAILED] certificate verify failed: unable to get local issuer certificate (_ssl.c:1018)')) | reason: [SSL: CERTIFICATE_VERIFY_FAILED] certificate verify failed: unable to get local issuer certificate (_ssl.c:1018)
https://www.qut.edu.au/study/short-courses-and-professional-development/short-courses/robotic-vision,Robotic vision,https://github.com/Kiloreux/awesome-robotics#readme,Robotics error: <HTTPError 403: 'Forbidden'> | reason: Forbidden
https://courses.edx.org/courses/ETHx/AMRx/1T2014/info,Autonomous Mobile Robots,https://github.com/Kiloreux/awesome-robotics#readme,Robotics error: <HTTPError 404: 'Not Found'> | reason: Not Found
https://www.edx.org/course/robot-mechanics-control-part-i-snux-snu446-345-1x,Robot Mechanics and Control, Part I,https://github.com/Kiloreux/awesome-robotics#readme,Robotics error: <HTTPError 404: 'Not Found'> | reason: Not Found
http://www.intechopen.com/subjects/robotics,INTECH Books,https://github.com/Kiloreux/awesome-robotics#readme,Robotics error: <HTTPError 404: 'Not Found'> | reason: Not Found
https://www.edx.org/course/robot-mechanics-control-part-ii-snux-snu446-345-2x,Robot Mechanics and Control, Part II,https://github.com/Kiloreux/awesome-robotics#readme,Robotics error: <HTTPError 404: 'Not Found'> | reason: Not Found
https://www.technologyreview.com/c/robotics/,MIT Technology Review Robotics,https://github.com/Kiloreux/awesome-robotics#readme,Robotics error: <HTTPError 404: 'Not Found'> | reason: Not Found
http://simbad.sourceforge.net/,Simbad,https://github.com/Kiloreux/awesome-robotics#readme,Robotics error: <HTTPError 403: 'Forbidden'> | reason: Forbidden
https://www.edx.org/course/autonomous-navigation-flying-robots-tumx-autonavx-0,Autonomous Navigation for Flying Robots,https://github.com/Kiloreux/awesome-robotics#readme,Robotics error: <HTTPError 404: 'Not Found'> | reason: Not Found
https://index.ros.org/doc/ros2/,ROS2,https://github.com/Kiloreux/awesome-robotics#readme,Robotics error: <HTTPError 404: 'Not Found'> | reason: Not Found
https://www.coursera.org/specializations/robotics,Robotics Specialization by GRASP Lab,https://github.com/Kiloreux/awesome-robotics#readme,Robotics error: <HTTPError 404: 'Not Found'> | reason: Not Found
