https://sourceforge.net/projects/joesnmp/,joeSNMP,https://github.com/eozer/awesome-snmp#readme,SNMP error: <HTTPError 403: 'Forbidden'> | reason: Forbidden
http://www.snmptt.org/docs/temp/snmpttconvertmib.shtml,snmpttconvertmib,https://github.com/eozer/awesome-snmp#readme,SNMP error: <HTTPError 404: 'Not Found'> | reason: Not Found
https://www.ibr.cs.tu-bs.de/projects/libsmi/,libsmi tools,https://github.com/eozer/awesome-snmp#readme,SNMP error: URLError(SSLCertVerificationError(5, '[SSL: CERTIFICATE_VERIFY_FAILED] certificate verify failed: unable to get local issuer certificate (_ssl.c:1018)')) | reason: [SSL: CERTIFICATE_VERIFY_FAILED] certificate verify failed: unable to get local issuer certificate (_ssl.c:1018)
https://www.ibr.cs.tu-bs.de/projects/libsmi/smilint.html,smilint,https://github.com/eozer/awesome-snmp#readme,SNMP error: URLError(SSLCertVerificationError(5, '[SSL: CERTIFICATE_VERIFY_FAILED] certificate verify failed: unable to get local issuer certificate (_ssl.c:1018)')) | reason: [SSL: CERTIFICATE_VERIFY_FAILED] certificate verify failed: unable to get local issuer certificate (_ssl.c:1018)
https://www.ibr.cs.tu-bs.de/projects/libsmi/smidump.html,smidump,https://github.com/eozer/awesome-snmp#readme,SNMP error: URLError(SSLCertVerificationError(5, '[SSL: CERTIFICATE_VERIFY_FAILED] certificate verify failed: unable to get local issuer certificate (_ssl.c:1018)')) | reason: [SSL: CERTIFICATE_VERIFY_FAILED] certificate verify failed: unable to get local issuer certificate (_ssl.c:1018)
https://net-snmp.sourceforge.io/docs/man/traptoemail.html,traptoemail,https://github.com/eozer/awesome-snmp#readme,SNMP error: <HTTPError 403: 'Forbidden'> | reason: Forbidden
https://net-snmp.sourceforge.io/docs/man/net-snmp-config.html,net-snmp-config,https://github.com/eozer/awesome-snmp#readme,SNMP error: <HTTPError 403: 'Forbidden'> | reason: Forbidden
https://net-snmp.sourceforge.io/docs/man/snmpconf.html,snmpconf,https://github.com/eozer/awesome-snmp#readme,SNMP error: <HTTPError 403: 'Forbidden'> | reason: Forbidden
https://net-snmp.sourceforge.io/docs/man/fixproc.html,fixproc,https://github.com/eozer/awesome-snmp#readme,SNMP error: <HTTPError 403: 'Forbidden'> | reason: Forbidden
https://www.ibr.cs.tu-bs.de/projects/libsmi/smidiff.html,smidiff,https://github.com/eozer/awesome-snmp#readme,SNMP error: URLError(SSLCertVerificationError(5, '[SSL: CERTIFICATE_VERIFY_FAILED] certificate verify failed: unable to get local issuer certificate (_ssl.c:1018)')) | reason: [SSL: CERTIFICATE_VERIFY_FAILED] certificate verify failed: unable to get local issuer certificate (_ssl.c:1018)
https://net-snmp.sourceforge.io/docs/man/mib2c.html,mib2c,https://github.com/eozer/awesome-snmp#readme,SNMP error: <HTTPError 403: 'Forbidden'> | reason: Forbidden
