http://certification.salesforce.com/app-builders,Salesforce Platform App Builder,https://github.com/mailtoharshit/awesome-salesforce#readme,Salesforce error: URLError(gaierror(11001, 'getaddrinfo failed')) | reason: [Errno 11001] getaddrinfo failed
http://certification.salesforce.com/platform-developers,Salesforce Platform Developer I,https://github.com/mailtoharshit/awesome-salesforce#readme,Salesforce error: URLError(gaierror(11001, 'getaddrinfo failed')) | reason: [Errno 11001] getaddrinfo failed
http://certification.salesforce.com/verification,Click Here,https://github.com/mailtoharshit/awesome-salesforce#readme,Salesforce error: URLError(gaierror(11001, 'getaddrinfo failed')) | reason: [Errno 11001] getaddrinfo failed
https://marketplace.visualstudio.com/items?itemName=chuckjonas.apex-autocomplete,Auto-complete +,https://github.com/mailtoharshit/awesome-salesforce#readme,Salesforce error: <HTTPError 403: 'Forbidden'> | reason: Forbidden
https://marketplace.visualstudio.com/items?itemName=ajinkya-hingne.salesforce-snippets,Salesforce Snippets,https://github.com/mailtoharshit/awesome-salesforce#readme,Salesforce error: <HTTPError 403: 'Forbidden'> | reason: Forbidden
http://boards.developerforce.com/sforce/?category.id=developers,Force.com Discussion boards,https://github.com/mailtoharshit/awesome-salesforce#readme,Salesforce error: <HTTPError 403: 'Forbidden'> | reason: Forbidden
https://developer.salesforce.com/blogs/,Salesforce Developer Relations Blog,https://github.com/mailtoharshit/awesome-salesforce#readme,Salesforce error: <HTTPError 403: 'Forbidden'> | reason: Forbidden
https://developer.salesforce.com/blogs/engineering/,Salesforce Engineering Blog,https://github.com/mailtoharshit/awesome-salesforce#readme,Salesforce error: <HTTPError 403: 'Forbidden'> | reason: Forbidden
https://force-cli.heroku.com/,Force.com CLI,https://github.com/mailtoharshit/awesome-salesforce#readme,Salesforce error: URLError(gaierror(11001, 'getaddrinfo failed')) | reason: [Errno 11001] getaddrinfo failed
https://developer.salesforce.com/page/Data_Loader,Data Loader,https://github.com/mailtoharshit/awesome-salesforce#readme,Salesforce error: <HTTPError 403: 'Forbidden'> | reason: Forbidden
https://gitter.im/mailtoharshit/awesome-salesforce?utm_source=badge&utm_medium=badge&utm_campaign=pr-badge&utm_content=badge,,https://github.com/mailtoharshit/awesome-salesforce#readme,Salesforce error: <HTTPError 404: 'Not Found'> | reason: Not Found
https://marketplace.visualstudio.com/items?itemName=DavidHelmer.mavensmate,Mavensmate,https://github.com/mailtoharshit/awesome-salesforce#readme,Salesforce error: <HTTPError 403: 'Forbidden'> | reason: Forbidden
https://developer.salesforce.com/signup,Signup for Free Developer Account,https://github.com/mailtoharshit/awesome-salesforce#readme,Salesforce error: <HTTPError 403: 'Forbidden'> | reason: Forbidden
http://cassacloud.com/nice-salesforce-debug/,CassaCloud,https://github.com/mailtoharshit/awesome-salesforce#readme,Salesforce error: RemoteDisconnected('Remote end closed connection without response') | reason: 
http://www.dreamfactory.com/force.com/monarch,DreamFactory Monarch,https://github.com/mailtoharshit/awesome-salesforce#readme,Salesforce error: <HTTPError 404: 'Not Found'> | reason: Not Found
https://developer.salesforce.com/page/Force.com_IDE,Force.com IDE,https://github.com/mailtoharshit/awesome-salesforce#readme,Salesforce error: <HTTPError 403: 'Forbidden'> | reason: Forbidden
http://community.pentaho.com/projects/data-integration/,Pentaho Kettle,https://github.com/mailtoharshit/awesome-salesforce#readme,Salesforce error: <HTTPError 403: 'Forbidden'> | reason: Forbidden
https://developer.salesforce.com/trailhead,Trailhead,https://github.com/mailtoharshit/awesome-salesforce#readme,Salesforce error: <HTTPError 403: 'Forbidden'> | reason: Forbidden
https://www.aside.io,ASIDE.IO,https://github.com/mailtoharshit/awesome-salesforce#readme,Salesforce error: URLError(gaierror(11001, 'getaddrinfo failed')) | reason: [Errno 11001] getaddrinfo failed
https://developer.salesforce.com/mobile/services/mobile-packs,,https://github.com/mailtoharshit/awesome-salesforce#readme,Salesforce error: <HTTPError 403: 'Forbidden'> | reason: Forbidden
https://sfdc-designer.herokuapp.com/,Try Designer,https://github.com/mailtoharshit/awesome-salesforce#readme,Salesforce error: <HTTPError 404: 'Not Found'> | reason: Not Found
http://blog.jeffdouglas.com/about/,Read More,https://github.com/mailtoharshit/awesome-salesforce#readme,Salesforce error: <HTTPError 404: 'Not Found'> | reason: Not Found
http://media.developerforce.com/force-ide/eclipse42,Eclipse Plugin,https://github.com/mailtoharshit/awesome-salesforce#readme,Salesforce error: <HTTPError 400: 'Bad Request'> | reason: Bad Request
http://certification.salesforce.com/,,https://github.com/mailtoharshit/awesome-salesforce#readme,Salesforce error: URLError(gaierror(11001, 'getaddrinfo failed')) | reason: [Errno 11001] getaddrinfo failed
http://www.getmdl.io,Google Material Design on,https://github.com/mailtoharshit/awesome-salesforce#readme,Salesforce error: <HTTPError 403: 'Forbidden'> | reason: Forbidden
