https://validator.w3.org/,HTML Validator,https://github.com/marcobiedermann/search-engine-optimization#readme,Search Engine Optimization error: <HTTPError 403: 'Forbidden'> | reason: Forbidden
https://www.w3.org/TR/html-picture-element/,Responsive Images,https://github.com/marcobiedermann/search-engine-optimization#readme,Search Engine Optimization error: <HTTPError 403: 'Forbidden'> | reason: Forbidden
https://jigsaw.w3.org/css-validator/,CSS Validator,https://github.com/marcobiedermann/search-engine-optimization#readme,Search Engine Optimization error: <HTTPError 403: 'Forbidden'> | reason: Forbidden
https://www.w3.org/TR/wai-aria/,WAI-Aria,https://github.com/marcobiedermann/search-engine-optimization#readme,Search Engine Optimization error: <HTTPError 403: 'Forbidden'> | reason: Forbidden
https://www.video2brain.com/en/courses/learning-web-analytics,Learning Web Analytics,https://github.com/marcobiedermann/search-engine-optimization#readme,Search Engine Optimization error: URLError(SSLError(1, '[SSL: TLSV1_UNRECOGNIZED_NAME] tlsv1 unrecognized name (_ssl.c:1018)')) | reason: [SSL: TLSV1_UNRECOGNIZED_NAME] tlsv1 unrecognized name (_ssl.c:1018)
https://www.lynda.com/Business-Online-Marketing-tutorials/SEO-Link-Building-Depth/95253-6.html,SEO: Link Building in Depth,https://github.com/marcobiedermann/search-engine-optimization#readme,Search Engine Optimization error: <HTTPError 404: 'Not Found'> | reason: Not Found
https://webmasters.googleblog.com/2014/08/https-as-ranking-signal.html,HTTPS,https://github.com/marcobiedermann/search-engine-optimization#readme,Search Engine Optimization error: <HTTPError 404: 'Not Found'> | reason: Not Found
http://seoforbeginners.com/,SEO for Beginners,https://github.com/marcobiedermann/search-engine-optimization#readme,Search Engine Optimization error: URLError(gaierror(11001, 'getaddrinfo failed')) | reason: [Errno 11001] getaddrinfo failed
https://www.lynda.com/Marketing-PPC-tutorials/Spying-SEO-Tools/371730-6.html,Spying with SEO Tools,https://github.com/marcobiedermann/search-engine-optimization#readme,Search Engine Optimization error: <HTTPError 404: 'Not Found'> | reason: Not Found
https://moz.com/followerwonk,Followerwonk,https://github.com/marcobiedermann/search-engine-optimization#readme,Search Engine Optimization error: <HTTPError 404: 'Not Found'> | reason: Not Found
https://support.google.com/webmasters/answer/6082207,Mobile sitemap,https://github.com/marcobiedermann/search-engine-optimization#readme,Search Engine Optimization error: <HTTPError 404: 'Not Found'> | reason: Not Found
https://www.lynda.com/WordPress-tutorials/WordPress-Plugins-SEO/140779-2.html,WordPress Plugins: SEO,https://github.com/marcobiedermann/search-engine-optimization#readme,Search Engine Optimization error: <HTTPError 404: 'Not Found'> | reason: Not Found
https://www.lynda.com/Google-Maps-tutorials/SEO-Local-Visibility/178132-2.html,SEO for Local Visibility,https://github.com/marcobiedermann/search-engine-optimization#readme,Search Engine Optimization error: <HTTPError 404: 'Not Found'> | reason: Not Found
https://developers.pinterest.com/rich_pins/validator/,Pinterest,https://github.com/marcobiedermann/search-engine-optimization#readme,Search Engine Optimization error: <HTTPError 404: 'Not Found'> | reason: Not Found
https://support.google.com/webmasters/answer/96569,nofollow,https://github.com/marcobiedermann/search-engine-optimization#readme,Search Engine Optimization error: <HTTPError 404: 'Not Found'> | reason: Not Found
https://imageoptim.com/,Optimization,https://github.com/marcobiedermann/search-engine-optimization#readme,Search Engine Optimization error: <HTTPError 502: 'Bad Gateway'> | reason: Bad Gateway
https://www.clickminded.com/,ClickMinded,https://github.com/marcobiedermann/search-engine-optimization#readme,Search Engine Optimization error: <HTTPError 403: 'Forbidden'> | reason: Forbidden
https://googlewebmastercentral.blogspot.be/2014/11/helping-users-find-mobile-friendly-pages.html,mobile friendly,https://github.com/marcobiedermann/search-engine-optimization#readme,Search Engine Optimization error: <HTTPError 404: 'Not Found'> | reason: Not Found
https://www.lynda.com/HTML-5-tutorials/Improving-SEO-Using-Accessibility-Techniques/89051-6.html,Improving SEO Using Accessibility Techniques,https://github.com/marcobiedermann/search-engine-optimization#readme,Search Engine Optimization error: <HTTPError 404: 'Not Found'> | reason: Not Found
https://www.lynda.com/Buzzstream-tutorials/SEO-Tools-Fundamentals/368917-2.html,SEO Tools Fundamentals,https://github.com/marcobiedermann/search-engine-optimization#readme,Search Engine Optimization error: <HTTPError 404: 'Not Found'> | reason: Not Found
https://support.google.com/webmasters/answer/1663744,Pagination,https://github.com/marcobiedermann/search-engine-optimization#readme,Search Engine Optimization error: <HTTPError 404: 'Not Found'> | reason: Not Found
https://www.lynda.com/Analytics-tutorials/International-SEO-Fundamentals/377449-6.html,International SEO Fundamentals,https://github.com/marcobiedermann/search-engine-optimization#readme,Search Engine Optimization error: <HTTPError 404: 'Not Found'> | reason: Not Found
https://www.video2brain.com/en/courses/learning-search-engine-optimization-seo-a-video-introduction,Learning Search Engine Optimization (SEO) - A Video Introduction,https://github.com/marcobiedermann/search-engine-optimization#readme,Search Engine Optimization error: URLError(SSLError(1, '[SSL: TLSV1_UNRECOGNIZED_NAME] tlsv1 unrecognized name (_ssl.c:1018)')) | reason: [SSL: TLSV1_UNRECOGNIZED_NAME] tlsv1 unrecognized name (_ssl.c:1018)
https://www.lynda.com/Business-Online-Marketing-tutorials/SEO-Keyword-Strategy-Depth/147030-6.html,SEO: Keyword Strategy in Depth,https://github.com/marcobiedermann/search-engine-optimization#readme,Search Engine Optimization error: <HTTPError 404: 'Not Found'> | reason: Not Found
https://developers.google.com/webmasters/structured-data/customize/social-profiles,Social Profiles,https://github.com/marcobiedermann/search-engine-optimization#readme,Search Engine Optimization error: <HTTPError 404: 'Not Found'> | reason: Not Found
