https://liberapay.com/awesome-selfhosted/,,https://github.com/awesome-selfhosted/awesome-selfhosted#readme,Self Hosted error: <HTTPError 403: 'Forbidden'> | reason: Forbidden
https://emailrelay.sourceforge.net/,EmailRelay,https://github.com/awesome-selfhosted/awesome-selfhosted#readme,Self Hosted error: <HTTPError 403: 'Forbidden'> | reason: Forbidden
https://sourceforge.net/p/emailrelay/code/HEAD/tree/,Source Code,https://github.com/awesome-selfhosted/awesome-selfhosted#readme,Self Hosted error: <HTTPError 403: 'Forbidden'> | reason: Forbidden
https://www.gnu.org/philosophy/who-does-that-server-really-serve.html,SaaSS,https://github.com/awesome-selfhosted/awesome-selfhosted#readme,Self Hosted error: <HTTPError 403: 'Forbidden'> | reason: Forbidden
https://davmail.sourceforge.net/,DavMail,https://github.com/awesome-selfhosted/awesome-selfhosted#readme,Self Hosted error: <HTTPError 403: 'Forbidden'> | reason: Forbidden
https://www.drupal.org/,Drupal,https://github.com/awesome-selfhosted/awesome-selfhosted#readme,Self Hosted error: <HTTPError 403: 'Forbidden'> | reason: Forbidden
https://foodcoops.net/,Foodsoft,https://github.com/awesome-selfhosted/awesome-selfhosted#readme,Self Hosted error: URLError(gaierror(11002, 'getaddrinfo failed')) | reason: [Errno 11002] getaddrinfo failed
https://sourceforge.net/p/squirrelmail/code/HEAD/tree/,Source Code,https://github.com/awesome-selfhosted/awesome-selfhosted#readme,Self Hosted error: <HTTPError 403: 'Forbidden'> | reason: Forbidden
https://payloadcms.com/,Payload CMS,https://github.com/awesome-selfhosted/awesome-selfhosted#readme,Self Hosted error: <HTTPError 429: 'Too Many Requests'> | reason: Too Many Requests
https://www.samba.org/,Samba,https://github.com/awesome-selfhosted/awesome-selfhosted#readme,Self Hosted error: <HTTPError 403: 'Forbidden'> | reason: Forbidden
https://git.exim.org/exim.git,Source Code,https://github.com/awesome-selfhosted/awesome-selfhosted#readme,Self Hosted error: <HTTPError 503: 'Service Unavailable'> | reason: Service Unavailable
https://demo.archivebox.io/,Demo,https://github.com/awesome-selfhosted/awesome-selfhosted#readme,Self Hosted error: <HTTPError 530: '<none>'> | reason: <none>
https://www.zenko.io/cloudserver,Zenko CloudServer,https://github.com/awesome-selfhosted/awesome-selfhosted#readme,Self Hosted error: URLError(SSLCertVerificationError(1, '[SSL: CERTIFICATE_VERIFY_FAILED] certificate verify failed: certificate has expired (_ssl.c:1018)')) | reason: [SSL: CERTIFICATE_VERIFY_FAILED] certificate verify failed: certificate has expired (_ssl.c:1018)
https://git.samba.org/samba.git/,Source Code,https://github.com/awesome-selfhosted/awesome-selfhosted#readme,Self Hosted error: <HTTPError 429: 'Too Many Requests'> | reason: Too Many Requests
https://docs.paperless-ngx.com/,Paperless-ngx,https://github.com/awesome-selfhosted/awesome-selfhosted#readme,Self Hosted error: <HTTPError 403: 'Forbidden'> | reason: Forbidden
https://gnunet.org/git/,Source Code,https://github.com/awesome-selfhosted/awesome-selfhosted#readme,Self Hosted error: <HTTPError 404: 'Not Found'> | reason: Not Found
https://demo.paperless-ngx.com/,Demo,https://github.com/awesome-selfhosted/awesome-selfhosted#readme,Self Hosted error: <HTTPError 403: 'Forbidden'> | reason: Forbidden
https://www.erlang-solutions.com/products/mongooseim.html,MongooseIM,https://github.com/awesome-selfhosted/awesome-selfhosted#readme,Self Hosted error: <HTTPError 403: 'Forbidden'> | reason: Forbidden
https://webdb.app,WebDB,https://github.com/awesome-selfhosted/awesome-selfhosted#readme,Self Hosted error: URLError(gaierror(11001, 'getaddrinfo failed')) | reason: [Errno 11001] getaddrinfo failed
https://demo.webdb.app/,Demo,https://github.com/awesome-selfhosted/awesome-selfhosted#readme,Self Hosted error: URLError(gaierror(11001, 'getaddrinfo failed')) | reason: [Errno 11001] getaddrinfo failed
https://demo.silverstripe.org/,Demo,https://github.com/awesome-selfhosted/awesome-selfhosted#readme,Self Hosted error: <HTTPError 500: 'Internal Server Error'> | reason: Internal Server Error
https://sourceforge.net/p/seeddms/code/ci/master/tree/,Source Code,https://github.com/awesome-selfhosted/awesome-selfhosted#readme,Self Hosted error: <HTTPError 403: 'Forbidden'> | reason: Forbidden
https://librebooking-demo.fly.dev/,Demo,https://github.com/awesome-selfhosted/awesome-selfhosted#readme,Self Hosted error: TimeoutError('The read operation timed out') | reason: 
https://wiki.list.org/HyperKitty,HyperKitty,https://github.com/awesome-selfhosted/awesome-selfhosted#readme,Self Hosted error: <HTTPError 503: 'Service Unavailable'> | reason: Service Unavailable
https://rsshub.app,Demo,https://github.com/awesome-selfhosted/awesome-selfhosted#readme,Self Hosted error: <HTTPError 403: 'Forbidden'> | reason: Forbidden
