https://blog.netsil.com/microservices-devops-and-operational-complexity-be98cb01b660,Microservices, DevOps and Production Complexity,https://github.com/dastergon/awesome-sre#readme,Site Reliability Engineering error: URLError(gaierror(11001, 'getaddrinfo failed')) | reason: [Errno 11001] getaddrinfo failed
https://devops.com/site-reliability-engineering-sre-true-ops-devops/,Is Site Reliability Engineering the True ‘Ops’ in DevOps?,https://github.com/dastergon/awesome-sre#readme,Site Reliability Engineering error: <HTTPError 403: 'Forbidden'> | reason: Forbidden
https://dastergon.gr/awesome-sre,,https://github.com/dastergon/awesome-sre#readme,Site Reliability Engineering error: <HTTPError 404: 'Not Found'> | reason: Not Found
https://engineering.linkedin.com/blog/2018/03/the-makeup-of-successful-geographically-distributed-sre-teams--p,Part1,https://github.com/dastergon/awesome-sre#readme,Site Reliability Engineering error: <HTTPError 429: 'Request denied'> | reason: Request denied
https://www.backblaze.com/blog/cloud-storage-durability/,Backblaze Durability is 99.999999999% — And Why It Doesn’t Matter,https://github.com/dastergon/awesome-sre#readme,Site Reliability Engineering error: <HTTPError 403: 'Forbidden'> | reason: Forbidden
https://engineering.linkedin.com/blog/2018/03/the-makeup-of-successful-geographically-distributed-sre-teams--p0,Part2,https://github.com/dastergon/awesome-sre#readme,Site Reliability Engineering error: <HTTPError 429: 'Too Many Requests'> | reason: Too Many Requests
https://tech.buzzfeed.com/checklists-an-operational-gift-aaf42cf0be12,Checklists: a stupidly simple but valuable operational gift,https://github.com/dastergon/awesome-sre#readme,Site Reliability Engineering error: URLError(SSLCertVerificationError(1, '[SSL: CERTIFICATE_VERIFY_FAILED] certificate verify failed: unable to get local issuer certificate (_ssl.c:1018)')) | reason: [SSL: CERTIFICATE_VERIFY_FAILED] certificate verify failed: unable to get local issuer certificate (_ssl.c:1018)
https://honeycomb.io/blog/2017/01/instrumentation-worst-case-performance-matters/,Instrumentation: Worst case performance matters,https://github.com/dastergon/awesome-sre#readme,Site Reliability Engineering error: <HTTPError 404: 'Not Found'> | reason: Not Found
https://podcasts.apple.com/us/podcast/resilience-in-action/id1506828506,Blameless / Resilience in Action,https://github.com/dastergon/awesome-sre#readme,Site Reliability Engineering error: <HTTPError 404: 'Not Found'> | reason: Not Found
https://devops.com/code-yellow-when-operations-isnt-perfect/,Code Yellow: When Operations Isn’t Perfect,https://github.com/dastergon/awesome-sre#readme,Site Reliability Engineering error: <HTTPError 403: 'Forbidden'> | reason: Forbidden
https://blog.netsil.com/beyond-google-sre-what-is-site-reliability-engineering-like-at-medium-71c65bd35f4e,Beyond Google SRE: What is Site Reliability Engineering like at Medium?,https://github.com/dastergon/awesome-sre#readme,Site Reliability Engineering error: URLError(gaierror(11001, 'getaddrinfo failed')) | reason: [Errno 11001] getaddrinfo failed
https://dastergon.gr/error-budget-calculator/,Error Budget Calculator,https://github.com/dastergon/awesome-sre#readme,Site Reliability Engineering error: <HTTPError 404: 'Not Found'> | reason: Not Found
