https://liberapay.com/SirCmpwn,#3,https://github.com/uraimo/awesome-software-patreons#readme,Software Patreons error: <HTTPError 403: 'Forbidden'> | reason: Forbidden
https://liberapay.com/prokoudine,#2,https://github.com/uraimo/awesome-software-patreons#readme,Software Patreons error: <HTTPError 403: 'Forbidden'> | reason: Forbidden
https://liberapay.com/mobian/,Mobian,https://github.com/uraimo/awesome-software-patreons#readme,Software Patreons error: <HTTPError 403: 'Forbidden'> | reason: Forbidden
https://liberapay.com/pixelfed,#3,https://github.com/uraimo/awesome-software-patreons#readme,Software Patreons error: <HTTPError 403: 'Forbidden'> | reason: Forbidden
https://liberapay.com/AkiraUX/,#2,https://github.com/uraimo/awesome-software-patreons#readme,Software Patreons error: <HTTPError 403: 'Forbidden'> | reason: Forbidden
https://liberapay.com/Flammie,#2,https://github.com/uraimo/awesome-software-patreons#readme,Software Patreons error: <HTTPError 403: 'Forbidden'> | reason: Forbidden
https://liberapay.com/GIMP/,GIMP,https://github.com/uraimo/awesome-software-patreons#readme,Software Patreons error: <HTTPError 403: 'Forbidden'> | reason: Forbidden
https://liberapay.com/kkremitzki,#2,https://github.com/uraimo/awesome-software-patreons#readme,Software Patreons error: <HTTPError 403: 'Forbidden'> | reason: Forbidden
https://liberapay.com/pippin/,#2,https://github.com/uraimo/awesome-software-patreons#readme,Software Patreons error: <HTTPError 403: 'Forbidden'> | reason: Forbidden
https://liberapay.com/Zrythm,Zrythm,https://github.com/uraimo/awesome-software-patreons#readme,Software Patreons error: <HTTPError 403: 'Forbidden'> | reason: Forbidden
https://usebottles.com/funding/,Bottles,https://github.com/uraimo/awesome-software-patreons#readme,Software Patreons error: <HTTPError 404: 'Not Found'> | reason: Not Found
https://liberapay.com/Tiled,#3,https://github.com/uraimo/awesome-software-patreons#readme,Software Patreons error: <HTTPError 403: 'Forbidden'> | reason: Forbidden
https://liberapay.com/Weblate,Weblate,https://github.com/uraimo/awesome-software-patreons#readme,Software Patreons error: <HTTPError 403: 'Forbidden'> | reason: Forbidden
https://liberapay.com/ReactOS/,ReactOS,https://github.com/uraimo/awesome-software-patreons#readme,Software Patreons error: <HTTPError 403: 'Forbidden'> | reason: Forbidden
https://liberapay.com/ZeMarmot/,#3,https://github.com/uraimo/awesome-software-patreons#readme,Software Patreons error: <HTTPError 403: 'Forbidden'> | reason: Forbidden
https://liberapay.com/gdb,Geoffrey D. Bennett,https://github.com/uraimo/awesome-software-patreons#readme,Software Patreons error: <HTTPError 403: 'Forbidden'> | reason: Forbidden
https://liberapay.com/stikonas,Andrius Štikonas,https://github.com/uraimo/awesome-software-patreons#readme,Software Patreons error: <HTTPError 403: 'Forbidden'> | reason: Forbidden
https://liberapay.com/F-Droid-Data/,#2,https://github.com/uraimo/awesome-software-patreons#readme,Software Patreons error: <HTTPError 403: 'Forbidden'> | reason: Forbidden
