http://sfncorpora.uab.es/CQPweb/cea/,The Corpus of Contemporary Spanish(POStags, lemmas),https://github.com/dav009/awesome-spanish-nlp#readme,Spanish error: URLError(gaierror(11001, 'getaddrinfo failed')) | reason: [Errno 11001] getaddrinfo failed
http://sfn.uab.es:8080/SFN/dictionary/dictionary-information-lemmas-and-expanded-forms,Lemmas Dictionary,https://github.com/dav009/awesome-spanish-nlp#readme,Spanish error: URLError(gaierror(11001, 'getaddrinfo failed')) | reason: [Errno 11001] getaddrinfo failed
http://www.speechocean.com/en-ASR-Corpora/631.html,Mexican Spanish Speech Recognition DB - 150 Speakers,https://github.com/dav009/awesome-spanish-nlp#readme,Spanish error: URLError(gaierror(11001, 'getaddrinfo failed')) | reason: [Errno 11001] getaddrinfo failed
http://www.speechocean.com/en-ASR-Corpora/603.html,Mexican Spanish Speech Recognition DB - 299 Speakers,https://github.com/dav009/awesome-spanish-nlp#readme,Spanish error: URLError(gaierror(11001, 'getaddrinfo failed')) | reason: [Errno 11001] getaddrinfo failed
http://www.speechocean.com/en-Text-Corpora/692.html,Phonetic Transcriptions of Spanish Pronunciation Lexicon,https://github.com/dav009/awesome-spanish-nlp#readme,Spanish error: URLError(gaierror(11001, 'getaddrinfo failed')) | reason: [Errno 11001] getaddrinfo failed
http://www.speech.cs.cmu.edu/sphinx/models/hub4spanish_itesm/,Sphinx Speech Recognition Models,https://github.com/dav009/awesome-spanish-nlp#readme,Spanish error: <HTTPError 404: 'Not Found'> | reason: Not Found
http://panacea-lr.eu/en/info-for-researchers/data-sets/monolingual-lexica/,PANACEA- Monolingual Lexica (MWE, Frames, Semantic Classes),https://github.com/dav009/awesome-spanish-nlp#readme,Spanish error: URLError(SSLCertVerificationError(5, '[SSL: CERTIFICATE_VERIFY_FAILED] certificate verify failed: unable to get local issuer certificate (_ssl.c:1018)')) | reason: [SSL: CERTIFICATE_VERIFY_FAILED] certificate verify failed: unable to get local issuer certificate (_ssl.c:1018)
http://alejandro.pictures,David Przybilla,https://github.com/dav009/awesome-spanish-nlp#readme,Spanish error: URLError(gaierror(11001, 'getaddrinfo failed')) | reason: [Errno 11001] getaddrinfo failed
http://ufal.mff.cuni.cz/conll2009-st/trial-data.html,CoNLL-2009 Shared Task: Syntactic and Semantic Dependencies in Multiple Languages,https://github.com/dav009/awesome-spanish-nlp#readme,Spanish error: URLError(SSLCertVerificationError(5, '[SSL: CERTIFICATE_VERIFY_FAILED] certificate verify failed: unable to get local issuer certificate (_ssl.c:1018)')) | reason: [SSL: CERTIFICATE_VERIFY_FAILED] certificate verify failed: unable to get local issuer certificate (_ssl.c:1018)
http://www.cis.uni-muenchen.de/~schmid/tools/TreeTagger/,TreeTagger - POSTagger,https://github.com/dav009/awesome-spanish-nlp#readme,Spanish error: URLError(SSLCertVerificationError(5, '[SSL: CERTIFICATE_VERIFY_FAILED] certificate verify failed: self-signed certificate in certificate chain (_ssl.c:1018)')) | reason: [SSL: CERTIFICATE_VERIFY_FAILED] certificate verify failed: self-signed certificate in certificate chain (_ssl.c:1018)
http://www.celct.it/resources.php?id_page=CLTE,Cross Lingual Textual Entailment (CLTE) Corpus (English-Spanish),https://github.com/dav009/awesome-spanish-nlp#readme,Spanish error: <HTTPError 404: 'Not Found'> | reason: Not Found
http://www.quest.dcs.shef.ac.uk/wmt13_qe.html,Quality Estimation (Spanish - English) WMT13,https://github.com/dav009/awesome-spanish-nlp#readme,Spanish error: URLError(SSLCertVerificationError(1, "[SSL: CERTIFICATE_VERIFY_FAILED] certificate verify failed: Hostname mismatch, certificate is not valid for 'www.quest.dcs.shef.ac.uk'. (_ssl.c:1018)")) | reason: [SSL: CERTIFICATE_VERIFY_FAILED] certificate verify failed: Hostname mismatch, certificate is not valid for 'www.quest.dcs.shef.ac.uk'. (_ssl.c:1018)
http://gramatica.usc.es/~marcos/corpora_nle.tgz,Garcia, Marcos and Pablo Gamallo, 2013 - Portuguese and Spanish biographical relation extraction corpora (Garcia, Marcos and Pablo Gamallo, 2013. Exploring the Effectiveness of Linguistic Knowledge for Biographical Relation Extraction. Natural Language Engineering, CJO2013. doi:10.1017/S1351324913000314.),https://github.com/dav009/awesome-spanish-nlp#readme,Spanish error: <HTTPError 404: 'Not Found'> | reason: Not Found
http://www.molinolabs.com/corpus.html,MolinoLabs Corpus - News Corpora from Spain, Argentina and Mexico,https://github.com/dav009/awesome-spanish-nlp#readme,Spanish error: <HTTPError 521: '<none>'> | reason: <none>
http://hpsg.fu-berlin.de/cow/,COW(Corpora From the Web) Ngram/Annotated People's Name Corpora,https://github.com/dav009/awesome-spanish-nlp#readme,Spanish error: URLError(gaierror(11001, 'getaddrinfo failed')) | reason: [Errno 11001] getaddrinfo failed
http://opennlp.sourceforge.net/models-1.5/,OpenNLP - Person/Place/Organization models,https://github.com/dav009/awesome-spanish-nlp#readme,Spanish error: <HTTPError 403: 'Forbidden'> | reason: Forbidden
http://panacea-lr.eu/en/info-for-researchers/data-sets/monolingual-corpora,PANACEA- Legislation Corpus,https://github.com/dav009/awesome-spanish-nlp#readme,Spanish error: URLError(SSLCertVerificationError(5, '[SSL: CERTIFICATE_VERIFY_FAILED] certificate verify failed: unable to get local issuer certificate (_ssl.c:1018)')) | reason: [SSL: CERTIFICATE_VERIFY_FAILED] certificate verify failed: unable to get local issuer certificate (_ssl.c:1018)
http://www.cs.upc.edu/~nlp/wikicorpus/,Wikicorpus- Portion of 2006's wikipedia annotated with WordNet Synsets and POS,https://github.com/dav009/awesome-spanish-nlp#readme,Spanish error: URLError(SSLCertVerificationError(5, '[SSL: CERTIFICATE_VERIFY_FAILED] certificate verify failed: unable to get local issuer certificate (_ssl.c:1018)')) | reason: [SSL: CERTIFICATE_VERIFY_FAILED] certificate verify failed: unable to get local issuer certificate (_ssl.c:1018)
http://crscardellino.me/SBWCE/,Spanish Billion Words Corpus with word2vec Embeddings,https://github.com/dav009/awesome-spanish-nlp#readme,Spanish error: <HTTPError 404: 'Not Found'> | reason: Not Found
http://panacea-lr.eu/en/info-for-researchers/data-sets/monolingual-corpora-n-grams/,PANACEA- Legislation Ngram Corpus,https://github.com/dav009/awesome-spanish-nlp#readme,Spanish error: URLError(SSLCertVerificationError(5, '[SSL: CERTIFICATE_VERIFY_FAILED] certificate verify failed: unable to get local issuer certificate (_ssl.c:1018)')) | reason: [SSL: CERTIFICATE_VERIFY_FAILED] certificate verify failed: unable to get local issuer certificate (_ssl.c:1018)
http://panacea-lr.eu/en/info-for-researchers/data-sets/dependency-parsed-corpora/,PANACEA- Dependency Parsed Corpus,https://github.com/dav009/awesome-spanish-nlp#readme,Spanish error: URLError(SSLCertVerificationError(5, '[SSL: CERTIFICATE_VERIFY_FAILED] certificate verify failed: unable to get local issuer certificate (_ssl.c:1018)')) | reason: [SSL: CERTIFICATE_VERIFY_FAILED] certificate verify failed: unable to get local issuer certificate (_ssl.c:1018)
http://semeval2.fbk.eu/semeval2.php?location=tasks,SemEval-2 2010 Coreference Resolution in Multiple Languages,https://github.com/dav009/awesome-spanish-nlp#readme,Spanish error: URLError(SSLCertVerificationError(5, '[SSL: CERTIFICATE_VERIFY_FAILED] certificate verify failed: unable to get local issuer certificate (_ssl.c:1018)')) | reason: [SSL: CERTIFICATE_VERIFY_FAILED] certificate verify failed: unable to get local issuer certificate (_ssl.c:1018)
http://catalog.elra.info/product_info.php?products_id=636,Multilingual Aligned Annotated Corpus (CRATER),https://github.com/dav009/awesome-spanish-nlp#readme,Spanish error: TimeoutError('The read operation timed out') | reason: 
http://elvira.lllf.uam.es/~sandoval/UAMTreebank.html,UAM Treebank - 1,500 syntactically annotated sentences extracted from newspapers (El País Digital and Compra Maestra,https://github.com/dav009/awesome-spanish-nlp#readme,Spanish error: <HTTPError 404: 'Not Found'> | reason: Not Found
