http://code.google.com/p/berkeleylm/,Berkeley LM,https://github.com/edobashira/speech-language-processing#readme,Speech and Natural Language Processing error: <HTTPError 503: 'Service Unavailable'> | reason: Service Unavailable
http://sourceforge.net/projects/currennt/,CURRENNT,https://github.com/edobashira/speech-language-processing#readme,Speech and Natural Language Processing error: <HTTPError 403: 'Forbidden'> | reason: Forbidden
http://www-lium.univ-lemans.fr/cslm/,CSLM,https://github.com/edobashira/speech-language-processing#readme,Speech and Natural Language Processing error: URLError(gaierror(11001, 'getaddrinfo failed')) | reason: [Errno 11001] getaddrinfo failed
http://www2.research.att.com/~fsmtools/fsm/,AT&T FSM Library,https://github.com/edobashira/speech-language-processing#readme,Speech and Natural Language Processing error: <HTTPError 400: 'Bad Request'> | reason: Bad Request
http://opendcd.org/,OpenDcd,https://github.com/edobashira/speech-language-processing#readme,Speech and Natural Language Processing error: <HTTPError 301: 'The HTTP server returned a redirect error that would lead to an infinite loop.\nThe last 30x error message was:\nMoved Permanently'> | reason: The HTTP server returned a redirect error that would lead to an infinite loop.
The last 30x error message was:
Moved Permanently
http://homepages.inf.ed.ac.uk/lzhang10/maxent.html,Maximum Entropy Modeling,https://github.com/edobashira/speech-language-processing#readme,Speech and Natural Language Processing error: <HTTPError 404: 'Not Found'> | reason: Not Found
http://www.phon.ioc.ee/dokuwiki/doku.php?id=people:tanel:srilm-me.en,Maximum entropy language models: SRILM extension,https://github.com/edobashira/speech-language-processing#readme,Speech and Natural Language Processing error: URLError(gaierror(11001, 'getaddrinfo failed')) | reason: [Errno 11001] getaddrinfo failed
http://www.bavieca.org/index.html,Bavieca,https://github.com/edobashira/speech-language-processing#readme,Speech and Natural Language Processing error: URLError(gaierror(11001, 'getaddrinfo failed')) | reason: [Errno 11001] getaddrinfo failed
http://cs.jhu.edu/~ozaidan/zmert/,zmert,https://github.com/edobashira/speech-language-processing#readme,Speech and Natural Language Processing error: <HTTPError 404: 'Not Found'> | reason: Not Found
http://www.cs.jhu.edu/~ozaidan/,Omar F. Zaidan,https://github.com/edobashira/speech-language-processing#readme,Speech and Natural Language Processing error: <HTTPError 404: 'Not Found'> | reason: Not Found
http://research.microsoft.com/en-us/projects/scarf/,SCARF: A Segmental CRF Toolkit for Speech Recognition,https://github.com/edobashira/speech-language-processing#readme,Speech and Natural Language Processing error: <HTTPError 404: 'Not Found'> | reason: Not Found
http://www.brics.dk/automaton/,dk.brics.automaton,https://github.com/edobashira/speech-language-processing#readme,Speech and Natural Language Processing error: URLError(SSLCertVerificationError(5, '[SSL: CERTIFICATE_VERIFY_FAILED] certificate verify failed: self-signed certificate in certificate chain (_ssl.c:1018)')) | reason: [SSL: CERTIFICATE_VERIFY_FAILED] certificate verify failed: self-signed certificate in certificate chain (_ssl.c:1018)
https://code.google.com/p/sofia-ml/,sofia-ml,https://github.com/edobashira/speech-language-processing#readme,Speech and Natural Language Processing error: <HTTPError 500: 'Internal Server Error'> | reason: Internal Server Error
http://,fsa,https://github.com/edobashira/speech-language-processing#readme,Speech and Natural Language Processing error: URLError('no host given') | reason: no host given
http://isse.sourceforge.net/,An Interactive Source Separation Editor,https://github.com/edobashira/speech-language-processing#readme,Speech and Natural Language Processing error: <HTTPError 403: 'Forbidden'> | reason: Forbidden
http://www.socher.org/index.php/Main/GloveGlobalVectorsForWordRepresentation,Glove,https://github.com/edobashira/speech-language-processing#readme,Speech and Natural Language Processing error: <HTTPError 404: 'Not Found'> | reason: Not Found
http://www.ee.columbia.edu/~dpwe/resources/matlab/,Matlab Audio Processing Examples,https://github.com/edobashira/speech-language-processing#readme,Speech and Natural Language Processing error: <HTTPError 403: 'Forbidden'> | reason: Forbidden
http://sourceforge.net/projects/randlm/,RandLM,https://github.com/edobashira/speech-language-processing#readme,Speech and Natural Language Processing error: <HTTPError 403: 'Forbidden'> | reason: Forbidden
https://ufal.mff.cuni.cz/pbml/102/art-baltescu-blunsom-hoang.pdf,here,https://github.com/edobashira/speech-language-processing#readme,Speech and Natural Language Processing error: URLError(SSLCertVerificationError(5, '[SSL: CERTIFICATE_VERIFY_FAILED] certificate verify failed: unable to get local issuer certificate (_ssl.c:1018)')) | reason: [SSL: CERTIFICATE_VERIFY_FAILED] certificate verify failed: unable to get local issuer certificate (_ssl.c:1018)
http://nlg.isi.edu/software/nplm/,Neural Probabilistic Language Model Toolkit,https://github.com/edobashira/speech-language-processing#readme,Speech and Natural Language Processing error: URLError(gaierror(11001, 'getaddrinfo failed')) | reason: [Errno 11001] getaddrinfo failed
http://viennacl.sourceforge.net/,http://viennacl.sourceforge.net/,https://github.com/edobashira/speech-language-processing#readme,Speech and Natural Language Processing error: <HTTPError 403: 'Forbidden'> | reason: Forbidden
http://people.csail.mit.edu/ilh/fst/,MIT FST Toolkit,https://github.com/edobashira/speech-language-processing#readme,Speech and Natural Language Processing error: <HTTPError 403: 'Forbidden'> | reason: Forbidden
http://www.ims.uni-stuttgart.de/tcl/SOFTWARE/SFST.html,SFST - Stuttgart Finite State Transducer Tools,https://github.com/edobashira/speech-language-processing#readme,Speech and Natural Language Processing error: URLError(SSLCertVerificationError(5, '[SSL: CERTIFICATE_VERIFY_FAILED] certificate verify failed: unable to get local issuer certificate (_ssl.c:1018)')) | reason: [SSL: CERTIFICATE_VERIFY_FAILED] certificate verify failed: unable to get local issuer certificate (_ssl.c:1018)
https://code.google.com/p/treba/,Treba,https://github.com/edobashira/speech-language-processing#readme,Speech and Natural Language Processing error: <HTTPError 500: 'Internal Server Error'> | reason: Internal Server Error
http://hts.sp.nitech.ac.jp/,HTS,https://github.com/edobashira/speech-language-processing#readme,Speech and Natural Language Processing error: URLError(ConnectionRefusedError(10061, 'No connection could be made because the target machine actively refused it', None, 10061, None)) | reason: [WinError 10061] No connection could be made because the target machine actively refused it
http://chien.cm.nctu.edu.tw/bayesian-recurrent-neural-network-for-language-modeling/,Bayesian Recurrent Neural Network for Language Modeling,https://github.com/edobashira/speech-language-processing#readme,Speech and Natural Language Processing error: URLError(gaierror(11001, 'getaddrinfo failed')) | reason: [Errno 11001] getaddrinfo failed
http://www-lium.univ-lemans.fr/en/content/ted-lium-corpus,TED-LIUM Corpus,https://github.com/edobashira/speech-language-processing#readme,Speech and Natural Language Processing error: URLError(gaierror(11001, 'getaddrinfo failed')) | reason: [Errno 11001] getaddrinfo failed
http://cmusphinx.sourceforge.net/,CMU Sphinx,https://github.com/edobashira/speech-language-processing#readme,Speech and Natural Language Processing error: <HTTPError 403: 'Forbidden'> | reason: Forbidden
http://htk.eng.cam.ac.uk/,HTK,https://github.com/edobashira/speech-language-processing#readme,Speech and Natural Language Processing error: TimeoutError('The read operation timed out') | reason: 
http://kaldi.sourceforge.net/,Kaldi,https://github.com/edobashira/speech-language-processing#readme,Speech and Natural Language Processing error: <HTTPError 403: 'Forbidden'> | reason: Forbidden
http://stanford.edu/class/ee103/mma.pdf,Introduction to Matrix Methods and Applications,https://github.com/edobashira/speech-language-processing#readme,Speech and Natural Language Processing error: <HTTPError 404: 'Not Found'> | reason: Not Found
