https://blog.developerdao.com/building-an-nft-with-stacks-and-clarity,Building an NFT with Stacks and Clarity,https://github.com/friedger/awesome-stacks-chain#readme,Stacks error: <HTTPError 429: 'Too Many Requests'> | reason: Too Many Requests
https://byzantion.hiro.so/,Order Book Contract Walkthrough,https://github.com/friedger/awesome-stacks-chain#readme,Stacks error: <HTTPError 404: 'Not Found'> | reason: Not Found
https://docs.stacks.co/stacks-101/proof-of-transfer,Proof of Transfer (PoX) consensus mechanism,https://github.com/friedger/awesome-stacks-chain#readme,Stacks error: <HTTPError 404: 'Not Found'> | reason: Not Found
https://clarity.tools,clarity.tools,https://github.com/friedger/awesome-stacks-chain#readme,Stacks error: URLError(SSLCertVerificationError(1, "[SSL: CERTIFICATE_VERIFY_FAILED] certificate verify failed: Hostname mismatch, certificate is not valid for 'clarity.tools'. (_ssl.c:1018)")) | reason: [SSL: CERTIFICATE_VERIFY_FAILED] certificate verify failed: Hostname mismatch, certificate is not valid for 'clarity.tools'. (_ssl.c:1018)
https://claritygpt.com/,ClarityGPT Prompt,https://github.com/friedger/awesome-stacks-chain#readme,Stacks error: URLError(gaierror(11001, 'getaddrinfo failed')) | reason: [Errno 11001] getaddrinfo failed
https://docs.hiro.so/tutorials/clarity-nft,NFT Tutorial,https://github.com/friedger/awesome-stacks-chain#readme,Stacks error: <HTTPError 404: 'Not Found'> | reason: Not Found
https://stacksdegens.com,Stacks Degens,https://github.com/friedger/awesome-stacks-chain#readme,Stacks error: URLError(SSLCertVerificationError(1, "[SSL: CERTIFICATE_VERIFY_FAILED] certificate verify failed: Hostname mismatch, certificate is not valid for 'stacksdegens.com'. (_ssl.c:1018)")) | reason: [SSL: CERTIFICATE_VERIFY_FAILED] certificate verify failed: Hostname mismatch, certificate is not valid for 'stacksdegens.com'. (_ssl.c:1018)
https://platform.hiro.so/,Hiro Platform,https://github.com/friedger/awesome-stacks-chain#readme,Stacks error: <HTTPError 400: 'Bad Request'> | reason: Bad Request
https://source-of-clarity.com,Source of Clarity,https://github.com/friedger/awesome-stacks-chain#readme,Stacks error: <HTTPError 502: 'Bad Gateway'> | reason: Bad Gateway
https://www.pointer.gg/tutorials/build-a-dex-with-stacks/56abb3a4-05c1-4608-b096-f82189e9f759,Build a DEX with Stacks,https://github.com/friedger/awesome-stacks-chain#readme,Stacks error: URLError(SSLCertVerificationError(1, '[SSL: CERTIFICATE_VERIFY_FAILED] certificate verify failed: certificate has expired (_ssl.c:1018)')) | reason: [SSL: CERTIFICATE_VERIFY_FAILED] certificate verify failed: certificate has expired (_ssl.c:1018)
https://www.clearness.dev/01-voting-clarity-smart-contract/01-getting-started,Creating a Voting Contract,https://github.com/friedger/awesome-stacks-chain#readme,Stacks error: URLError(gaierror(11001, 'getaddrinfo failed')) | reason: [Errno 11001] getaddrinfo failed
