https://stateless.group/hal_specification.html,HAL,https://github.com/donBarbos/awesome-standards#readme,Standards error: URLError(gaierror(11001, 'getaddrinfo failed')) | reason: [Errno 11001] getaddrinfo failed
https://www.tisi.go.th/home/en,TIS,https://github.com/donBarbos/awesome-standards#readme,Standards error: URLError(SSLCertVerificationError(1, '[SSL: CERTIFICATE_VERIFY_FAILED] certificate verify failed: unable to get local issuer certificate (_ssl.c:1018)')) | reason: [SSL: CERTIFICATE_VERIFY_FAILED] certificate verify failed: unable to get local issuer certificate (_ssl.c:1018)
https://standards.ieee.org/standard/,IEEE,https://github.com/donBarbos/awesome-standards#readme,Standards error: <HTTPError 403: 'Forbidden'> | reason: Forbidden
https://www.bluetooth.com/specifications/specs/core-specification-6-0/,Bluetooth Core Specifications,https://github.com/donBarbos/awesome-standards#readme,Standards error: <HTTPError 403: 'Forbidden'> | reason: Forbidden
https://unix.org/what_is_unix/single_unix_specification.html,SUS,https://github.com/donBarbos/awesome-standards#readme,Standards error: <HTTPError 404: 'Not Found'> | reason: Not Found
https://www.din.de/,DIN,https://github.com/donBarbos/awesome-standards#readme,Standards error: <HTTPError 403: 'Forbidden'> | reason: Forbidden
https://www.jisc.go.jp/eng/,JIS,https://github.com/donBarbos/awesome-standards#readme,Standards error: URLError(SSLCertVerificationError(5, '[SSL: CERTIFICATE_VERIFY_FAILED] certificate verify failed: self-signed certificate in certificate chain (_ssl.c:1018)')) | reason: [SSL: CERTIFICATE_VERIFY_FAILED] certificate verify failed: self-signed certificate in certificate chain (_ssl.c:1018)
https://www.w3.org/TR/,W3C,https://github.com/donBarbos/awesome-standards#readme,Standards error: <HTTPError 403: 'Forbidden'> | reason: Forbidden
https://www.w3.org/WAI/,W3C WAI,https://github.com/donBarbos/awesome-standards#readme,Standards error: <HTTPError 403: 'Forbidden'> | reason: Forbidden
https://www.kats.go.kr/en/,KATS,https://github.com/donBarbos/awesome-standards#readme,Standards error: URLError(SSLCertVerificationError(5, '[SSL: CERTIFICATE_VERIFY_FAILED] certificate verify failed: self-signed certificate in certificate chain (_ssl.c:1018)')) | reason: [SSL: CERTIFICATE_VERIFY_FAILED] certificate verify failed: self-signed certificate in certificate chain (_ssl.c:1018)
https://www.cnsonline.com.tw/,CNS,https://github.com/donBarbos/awesome-standards#readme,Standards error: URLError(SSLCertVerificationError(1, '[SSL: CERTIFICATE_VERIFY_FAILED] certificate verify failed: Missing Subject Key Identifier (_ssl.c:1018)')) | reason: [SSL: CERTIFICATE_VERIFY_FAILED] certificate verify failed: Missing Subject Key Identifier (_ssl.c:1018)
https://fidoalliance.org/specifications/,FIDO Specifications,https://github.com/donBarbos/awesome-standards#readme,Standards error: <HTTPError 403: 'Forbidden'> | reason: Forbidden
https://www.csagroup.org/,CSA Group,https://github.com/donBarbos/awesome-standards#readme,Standards error: <HTTPError 403: 'Forbidden'> | reason: Forbidden
https://www.sii.org.il/eng/,SII,https://github.com/donBarbos/awesome-standards#readme,Standards error: <HTTPError 403: 'Forbidden'> | reason: Forbidden
https://uefi.org/specifications,UEFI Specifications,https://github.com/donBarbos/awesome-standards#readme,Standards error: <HTTPError 403: 'Forbidden'> | reason: Forbidden
https://tcvn.gov.vn/?lang=en,TCVN,https://github.com/donBarbos/awesome-standards#readme,Standards error: URLError(SSLCertVerificationError(1, '[SSL: CERTIFICATE_VERIFY_FAILED] certificate verify failed: unable to get local issuer certificate (_ssl.c:1018)')) | reason: [SSL: CERTIFICATE_VERIFY_FAILED] certificate verify failed: unable to get local issuer certificate (_ssl.c:1018)
