http://input.fontbureau.com,Input,https://github.com/dreikanter/sublime-bookmarks#readme,Sublime Text error: URLError(gaierror(11001, 'getaddrinfo failed')) | reason: [Errno 11001] getaddrinfo failed
http://zhuravel.biz/setting-up-sublime-text-for-ruby-development,Setting up Sublime Text for Ruby development,https://github.com/dreikanter/sublime-bookmarks#readme,Sublime Text error: URLError(gaierror(11001, 'getaddrinfo failed')) | reason: [Errno 11001] getaddrinfo failed
https://sweetme.at/2013/08/08/sublime-text-keyboard-shortcuts/,Shortcut Cheat Sheet,https://github.com/dreikanter/sublime-bookmarks#readme,Sublime Text error: <HTTPError 404: 'Not Found'> | reason: Not Found
http://www.paratype.com/public/,PT Mono,https://github.com/dreikanter/sublime-bookmarks#readme,Sublime Text error: URLError(SSLCertVerificationError(1, '[SSL: CERTIFICATE_VERIFY_FAILED] certificate verify failed: self-signed certificate (_ssl.c:1018)')) | reason: [SSL: CERTIFICATE_VERIFY_FAILED] certificate verify failed: self-signed certificate (_ssl.c:1018)
https://scotch.io/bar-talk/the-complete-visual-guide-to-sublime-text-3-getting-started-and-keyboard-shortcuts,The Complete Visual Guide to Sublime Text 3,https://github.com/dreikanter/sublime-bookmarks#readme,Sublime Text error: <HTTPError 410: 'Gone'> | reason: Gone
https://www.shortcutfoo.com/app/tutorial/sublimetext,ShortcutFoo,https://github.com/dreikanter/sublime-bookmarks#readme,Sublime Text error: <HTTPError 404: 'Not Found'> | reason: Not Found
https://www.packtpub.com/application-development/mastering-sublime-text,Mastering Sublime Text,https://github.com/dreikanter/sublime-bookmarks#readme,Sublime Text error: <HTTPError 403: 'Forbidden'> | reason: Forbidden
https://www.packtpub.com/product/instant-sublime-text-starter/9781849693929,Instant Sublime Text Starter,https://github.com/dreikanter/sublime-bookmarks#readme,Sublime Text error: <HTTPError 403: 'Forbidden'> | reason: Forbidden
http://www.slant.co/topics/67/~programming-fonts,What are the best programming fonts?,https://github.com/dreikanter/sublime-bookmarks#readme,Sublime Text error: <HTTPError 500: 'Internal Server Error'> | reason: Internal Server Error
http://piotr.banaszkiewicz.org/blog/2013/08/24/sublime-text-3-for-python-development/,Sublime Text 3 for Python development,https://github.com/dreikanter/sublime-bookmarks#readme,Sublime Text error: URLError(gaierror(11001, 'getaddrinfo failed')) | reason: [Errno 11001] getaddrinfo failed
https://pragprog.com/screencasts/v-mrst2/sublime-text-2,Sublime Text 2,https://github.com/dreikanter/sublime-bookmarks#readme,Sublime Text error: <HTTPError 404: 'Not Found'> | reason: Not Found
http://equinsuocha.io/material-theme,http://equinsuocha.io/material-theme,https://github.com/dreikanter/sublime-bookmarks#readme,Sublime Text error: URLError(SSLCertVerificationError(1, '[SSL: CERTIFICATE_VERIFY_FAILED] certificate verify failed: certificate has expired (_ssl.c:1018)')) | reason: [SSL: CERTIFICATE_VERIFY_FAILED] certificate verify failed: certificate has expired (_ssl.c:1018)
http://opensourcehacker.com/2014/03/10/sublime-text-3-for-python-javascript-and-web-developers/,Sublime Text 3 for Python, JavaScript and web developers,https://github.com/dreikanter/sublime-bookmarks#readme,Sublime Text error: <HTTPError 500: 'Internal Server Error'> | reason: Internal Server Error
https://sublimetexttips.com,Sublime Text Tips,https://github.com/dreikanter/sublime-bookmarks#readme,Sublime Text error: URLError(SSLCertVerificationError(1, '[SSL: CERTIFICATE_VERIFY_FAILED] certificate verify failed: self-signed certificate (_ssl.c:1018)')) | reason: [SSL: CERTIFICATE_VERIFY_FAILED] certificate verify failed: self-signed certificate (_ssl.c:1018)
http://kkga.github.io/spacegray/,Spacegray,https://github.com/dreikanter/sublime-bookmarks#readme,Sublime Text error: <HTTPError 404: 'Not Found'> | reason: Not Found
http://kkga.github.io/spacegray,http://kkga.github.io/spacegray,https://github.com/dreikanter/sublime-bookmarks#readme,Sublime Text error: <HTTPError 404: 'Not Found'> | reason: Not Found
http://tmtheme-editor.herokuapp.com,http://tmtheme-editor.herokuapp.com,https://github.com/dreikanter/sublime-bookmarks#readme,Sublime Text error: <HTTPError 404: 'Not Found'> | reason: Not Found
