https://mitpress.mit.edu/books/introduction-computational-learning-theory,Vazirani & Kearns. An Introduction to Computational Learning Theory,https://github.com/mostafatouny/awesome-theoretical-computer-science#readme,Theoretical Computer Science error: <HTTPError 403: 'Forbidden'> | reason: Forbidden
https://mitpress.mit.edu/9780262045308/ideas-that-created-the-future/,Harry Lewis. Ideas That Created the Future: Classic Papers of Computer Science,https://github.com/mostafatouny/awesome-theoretical-computer-science#readme,Theoretical Computer Science error: <HTTPError 403: 'Forbidden'> | reason: Forbidden
https://dl.acm.org/toc/xrds/2012/18/3,The Legacy of Alan Turing: Pushing the Boundaries of Computation (Volume 18, Issue 3, Spring 2012). ACM, XRDS,https://github.com/mostafatouny/awesome-theoretical-computer-science#readme,Theoretical Computer Science error: <HTTPError 403: 'Forbidden'> | reason: Forbidden
https://www.math.uni.wroc.pl/~mpal/academic/2013/lecture_notes.pdf,Paluszynski. Calculus for Computer Scientists,https://github.com/mostafatouny/awesome-theoretical-computer-science#readme,Theoretical Computer Science error: URLError(SSLCertVerificationError(1, '[SSL: CERTIFICATE_VERIFY_FAILED] certificate verify failed: unable to get local issuer certificate (_ssl.c:1018)')) | reason: [SSL: CERTIFICATE_VERIFY_FAILED] certificate verify failed: unable to get local issuer certificate (_ssl.c:1018)
https://www.henryyuen.net/fall2020/complexity_of_entanglement_notes.pdf,Henry Yuen. The Complexity of Entanglement. Fall 2020,https://github.com/mostafatouny/awesome-theoretical-computer-science#readme,Theoretical Computer Science error: <HTTPError 404: 'Not Found'> | reason: Not Found
https://www.eatcs.org/,European Association of TCS,https://github.com/mostafatouny/awesome-theoretical-computer-science#readme,Theoretical Computer Science error: URLError(SSLCertVerificationError(1, '[SSL: CERTIFICATE_VERIFY_FAILED] certificate verify failed: unable to get local issuer certificate (_ssl.c:1018)')) | reason: [SSL: CERTIFICATE_VERIFY_FAILED] certificate verify failed: unable to get local issuer certificate (_ssl.c:1018)
https://www.youtube.com/watch?v=2BdBfsXbST8,Donald Knuth 1,https://github.com/mostafatouny/awesome-theoretical-computer-science#readme,Theoretical Computer Science error: <HTTPError 429: 'Too Many Requests'> | reason: Too Many Requests
https://www.cambridge.org/us/academic/subjects/computer-science/programming-languages-and-applied-logic/lectures-game-theory-computer-scientists,Apt & Grädel. Lectures in Game Theory for Computer Scientists,https://github.com/mostafatouny/awesome-theoretical-computer-science#readme,Theoretical Computer Science error: <HTTPError 403: 'Forbidden'> | reason: Forbidden
https://stellar.mit.edu/S/course/6/fa11/6.893/index.html,6.893 Philosophy and Theoretical Computer Science. MIT,https://github.com/mostafatouny/awesome-theoretical-computer-science#readme,Theoretical Computer Science error: URLError(SSLError(1, '[SSL: DH_KEY_TOO_SMALL] dh key too small (_ssl.c:1018)')) | reason: [SSL: DH_KEY_TOO_SMALL] dh key too small (_ssl.c:1018)
https://www.youtube.com/watch?v=EE1R8FYUJm0,Donald Knuth 2,https://github.com/mostafatouny/awesome-theoretical-computer-science#readme,Theoretical Computer Science error: <HTTPError 429: 'Too Many Requests'> | reason: Too Many Requests
http://www.wisdom.weizmann.ac.il/~oded/cc-book.html,Goldreich. Computational Complexity: A Conceptual Perspective,https://github.com/mostafatouny/awesome-theoretical-computer-science#readme,Theoretical Computer Science error: URLError(SSLCertVerificationError(5, '[SSL: CERTIFICATE_VERIFY_FAILED] certificate verify failed: unable to get local issuer certificate (_ssl.c:1018)')) | reason: [SSL: CERTIFICATE_VERIFY_FAILED] certificate verify failed: unable to get local issuer certificate (_ssl.c:1018)
https://eatcs.org/index.php/on-line-issues,EATCS Bulletin,https://github.com/mostafatouny/awesome-theoretical-computer-science#readme,Theoretical Computer Science error: URLError(SSLCertVerificationError(1, '[SSL: CERTIFICATE_VERIFY_FAILED] certificate verify failed: unable to get local issuer certificate (_ssl.c:1018)')) | reason: [SSL: CERTIFICATE_VERIFY_FAILED] certificate verify failed: unable to get local issuer certificate (_ssl.c:1018)
https://dl.acm.org/loi/sigact,SIGACT News,https://github.com/mostafatouny/awesome-theoretical-computer-science#readme,Theoretical Computer Science error: <HTTPError 403: 'Forbidden'> | reason: Forbidden
https://www.cosy.sbg.ac.at/~held/teaching/aads/TCS-cheat_sheet.pdf,TCS Cheat Sheet,https://github.com/mostafatouny/awesome-theoretical-computer-science#readme,Theoretical Computer Science error: URLError(SSLCertVerificationError(5, '[SSL: CERTIFICATE_VERIFY_FAILED] certificate verify failed: self-signed certificate in certificate chain (_ssl.c:1018)')) | reason: [SSL: CERTIFICATE_VERIFY_FAILED] certificate verify failed: self-signed certificate in certificate chain (_ssl.c:1018)
https://www.youtube.com/watch?v=zNdhgOk4-fE,Silvio Micali,https://github.com/mostafatouny/awesome-theoretical-computer-science#readme,Theoretical Computer Science error: <HTTPError 429: 'Too Many Requests'> | reason: Too Many Requests
https://www.wisdom.weizmann.ac.il/~oded/book1.html,Goldreich. Modern Cryptography, Probabilistic Proofs and Pseudorandomness,https://github.com/mostafatouny/awesome-theoretical-computer-science#readme,Theoretical Computer Science error: URLError(SSLCertVerificationError(5, '[SSL: CERTIFICATE_VERIFY_FAILED] certificate verify failed: unable to get local issuer certificate (_ssl.c:1018)')) | reason: [SSL: CERTIFICATE_VERIFY_FAILED] certificate verify failed: unable to get local issuer certificate (_ssl.c:1018)
https://www.nowpublishers.com/TCS,Foundations and Trends in Theoretical Computer Science,https://github.com/mostafatouny/awesome-theoretical-computer-science#readme,Theoretical Computer Science error: <HTTPError 403: 'Forbidden'> | reason: Forbidden
https://www.youtube.com/watch?v=KllCrlfLuzs,Richard Karp,https://github.com/mostafatouny/awesome-theoretical-computer-science#readme,Theoretical Computer Science error: <HTTPError 429: 'Too Many Requests'> | reason: Too Many Requests
http://www.wisdom.weizmann.ac.il/~oded/bc-book.html,Goldreich. P, NP, and NP-Completeness: The Basics of Computational Complexity,https://github.com/mostafatouny/awesome-theoretical-computer-science#readme,Theoretical Computer Science error: URLError(SSLCertVerificationError(5, '[SSL: CERTIFICATE_VERIFY_FAILED] certificate verify failed: unable to get local issuer certificate (_ssl.c:1018)')) | reason: [SSL: CERTIFICATE_VERIFY_FAILED] certificate verify failed: unable to get local issuer certificate (_ssl.c:1018)
http://www.wisdom.weizmann.ac.il/~oded/rnd.html,Goldreich. Randomized Methods in Computation,https://github.com/mostafatouny/awesome-theoretical-computer-science#readme,Theoretical Computer Science error: URLError(SSLCertVerificationError(5, '[SSL: CERTIFICATE_VERIFY_FAILED] certificate verify failed: unable to get local issuer certificate (_ssl.c:1018)')) | reason: [SSL: CERTIFICATE_VERIFY_FAILED] certificate verify failed: unable to get local issuer certificate (_ssl.c:1018)
https://mitpress.mit.edu/books/handbook-theoretical-computer-science-volume,Handbook of Theoretical Computer Science. Volume A: Algorithms and Complexity,https://github.com/mostafatouny/awesome-theoretical-computer-science#readme,Theoretical Computer Science error: <HTTPError 403: 'Forbidden'> | reason: Forbidden
https://mitpress.mit.edu/books/handbook-theoretical-computer-science-2-vol-set,Handbook of Theoretical Computer Science. Volume B: Formal Methods and Semantics,https://github.com/mostafatouny/awesome-theoretical-computer-science#readme,Theoretical Computer Science error: <HTTPError 403: 'Forbidden'> | reason: Forbidden
https://www.pearson.com/us/higher-education/product/Graham-Concrete-Mathematics-A-Foundation-for-Computer-Science-2nd-Edition/9780134389981.html,Knuth, Graham & Patashnik. Concrete Mathematics: A Foundation for Computer Science,https://github.com/mostafatouny/awesome-theoretical-computer-science#readme,Theoretical Computer Science error: <HTTPError 504: 'Gateway Time-out'> | reason: Gateway Time-out
http://assets.press.princeton.edu/chapters/gowers/gowers_VIII_6.pdf,Princeton's Companion. Advice to a Young Mathematician,https://github.com/mostafatouny/awesome-theoretical-computer-science#readme,Theoretical Computer Science error: <HTTPError 403: 'Forbidden'> | reason: Forbidden
https://www.researchgate.net/profile/Lance-Fortnow/publication/220530495_A_Short_History_of_Computational_Complexity/links/0deec52bd7ab603fef000000/A-Short-History-of-Computational-Complexity.pdf,Fortnow & Homer. A Short History of Computational Complexity,https://github.com/mostafatouny/awesome-theoretical-computer-science#readme,Theoretical Computer Science error: <HTTPError 403: 'Forbidden'> | reason: Forbidden
https://www.researchgate.net/publication/227171743_Is_Quantum_Mechanics_Falsifiable_A_computational_perspective_on_thefoundations_of_Quantum_Mechanics,Aharonov & Vazirani, Is Quantum Mechanics Falsifiable? A Computational Perspective on the Foundations of Quantum Mechanics,https://github.com/mostafatouny/awesome-theoretical-computer-science#readme,Theoretical Computer Science error: <HTTPError 403: 'Forbidden'> | reason: Forbidden
https://www.maa.org/press/maa-reviews/handbook-of-logic-and-proof-techniques-for-computer-science,Krantz. Handbook of Logic and Proof Techniques for Computer Science,https://github.com/mostafatouny/awesome-theoretical-computer-science#readme,Theoretical Computer Science error: <HTTPError 404: 'Not Found'> | reason: Not Found
https://academic.oup.com/philmat/article/27/3/381/5613215,Walter Dean. Computational Complexity Theory and the Philosophy of Mathematics,https://github.com/mostafatouny/awesome-theoretical-computer-science#readme,Theoretical Computer Science error: <HTTPError 403: 'Forbidden'> | reason: Forbidden
https://www.jstor.org/stable/40247755,Philip Davis. Toward a Philosophy of Computation,https://github.com/mostafatouny/awesome-theoretical-computer-science#readme,Theoretical Computer Science error: <HTTPError 403: 'Forbidden'> | reason: Forbidden
