https://veganuary.com/,Veganuary,https://github.com/sdassow/awesome-veganism#readme,Veganism error: <HTTPError 403: 'Forbidden'> | reason: Forbidden
https://www.shooflyveganbakery.com/,Shoofly bakery,https://github.com/sdassow/awesome-veganism#readme,Veganism error: URLError(gaierror(11001, 'getaddrinfo failed')) | reason: [Errno 11001] getaddrinfo failed
https://www.mrveganfoodbar.nl/,Mr. Vegan Foodbar,https://github.com/sdassow/awesome-veganism#readme,Veganism error: <HTTPError 403: 'Forbidden'> | reason: Forbidden
https://www.happycow.net/,HappyCow,https://github.com/sdassow/awesome-veganism#readme,Veganism error: <HTTPError 403: 'Forbidden'> | reason: Forbidden
https://veganpublishers.com/multimedia-archive/thats-not-my-mommas-milk/,That's Not My Momma's Milk!,https://github.com/sdassow/awesome-veganism#readme,Veganism error: RemoteDisconnected('Remote end closed connection without response') | reason: 
https://eatbychloe.com/,Eat By Cloe,https://github.com/sdassow/awesome-veganism#readme,Veganism error: URLError(gaierror(11001, 'getaddrinfo failed')) | reason: [Errno 11001] getaddrinfo failed
https://peasofheaven.com/,Peas of Heaven,https://github.com/sdassow/awesome-veganism#readme,Veganism error: URLError(SSLCertVerificationError(1, '[SSL: CERTIFICATE_VERIFY_FAILED] certificate verify failed: certificate has expired (_ssl.c:1018)')) | reason: [SSL: CERTIFICATE_VERIFY_FAILED] certificate verify failed: certificate has expired (_ssl.c:1018)
https://kaiserhuettn.com/,Kaiserhüttn,https://github.com/sdassow/awesome-veganism#readme,Veganism error: <HTTPError 403: 'Forbidden'> | reason: Forbidden
https://berbenandwolffs.com/,Berben & Wolff's,https://github.com/sdassow/awesome-veganism#readme,Veganism error: URLError(gaierror(11002, 'getaddrinfo failed')) | reason: [Errno 11002] getaddrinfo failed
https://markofthebeastro.com/,Mark of the Beastro,https://github.com/sdassow/awesome-veganism#readme,Veganism error: URLError(gaierror(11002, 'getaddrinfo failed')) | reason: [Errno 11002] getaddrinfo failed
https://www.bistrocalypso.nl/,Bar Bistro Calypso,https://github.com/sdassow/awesome-veganism#readme,Veganism error: URLError(gaierror(11001, 'getaddrinfo failed')) | reason: [Errno 11001] getaddrinfo failed
https://www.bijalbrecht.nl/,Bij Albrecht,https://github.com/sdassow/awesome-veganism#readme,Veganism error: <HTTPError 403: 'Forbidden'> | reason: Forbidden
https://violifefoods.com/,Violife,https://github.com/sdassow/awesome-veganism#readme,Veganism error: <HTTPError 403: 'Forbidden'> | reason: Forbidden
https://www.vega-life.nl/,VEGA-LIFE,https://github.com/sdassow/awesome-veganism#readme,Veganism error: <HTTPError 426: ''> | reason: 
https://www.adidas.com/us/vegan-shoes,Adidas,https://github.com/sdassow/awesome-veganism#readme,Veganism error: TimeoutError('The read operation timed out') | reason: 
https://nurishhplantbased.com/,Nurishh,https://github.com/sdassow/awesome-veganism#readme,Veganism error: <HTTPError 403: 'Forbidden'> | reason: Forbidden
http://terrazencentre.com/,TerraZen Centre,https://github.com/sdassow/awesome-veganism#readme,Veganism error: URLError(SSLCertVerificationError(1, '[SSL: CERTIFICATE_VERIFY_FAILED] certificate verify failed: certificate has expired (_ssl.c:1018)')) | reason: [SSL: CERTIFICATE_VERIFY_FAILED] certificate verify failed: certificate has expired (_ssl.c:1018)
https://vegansugarmamas.nl/,Vegan Sugar Mama's,https://github.com/sdassow/awesome-veganism#readme,Veganism error: URLError(gaierror(11001, 'getaddrinfo failed')) | reason: [Errno 11001] getaddrinfo failed
https://yemaya.estate/,Yemayá's Vegan Corner,https://github.com/sdassow/awesome-veganism#readme,Veganism error: RemoteDisconnected('Remote end closed connection without response') | reason: 
https://mercyforanimals.org/,Mercy For Animals,https://github.com/sdassow/awesome-veganism#readme,Veganism error: <HTTPError 403: 'Forbidden'> | reason: Forbidden
https://sweethazelandco.com/,Sweet Hazel & Co,https://github.com/sdassow/awesome-veganism#readme,Veganism error: <HTTPError 403: 'Forbidden'> | reason: Forbidden
https://macarononline-nl.mijndomeinwebwinkel.nl/,My Cakes,https://github.com/sdassow/awesome-veganism#readme,Veganism error: URLError(SSLCertVerificationError(1, '[SSL: CERTIFICATE_VERIFY_FAILED] certificate verify failed: certificate has expired (_ssl.c:1018)')) | reason: [SSL: CERTIFICATE_VERIFY_FAILED] certificate verify failed: certificate has expired (_ssl.c:1018)
