https://medium.com/@WebReflection/how-to-deliver-custom-elements-702fae32d25c,How to deliver Custom Elements,https://github.com/web-padawan/awesome-web-components#readme,Web Components error: <HTTPError 403: 'Forbidden'> | reason: Forbidden
https://www.tpgi.com/web-components-punch-list/,Web Components punch list,https://github.com/web-padawan/awesome-web-components#readme,Web Components error: <HTTPError 403: 'Forbidden'> | reason: Forbidden
https://developer.salesforce.com/blogs/2020/01/intro-to-web-components.html,Intro to Web Components,https://github.com/web-padawan/awesome-web-components#readme,Web Components error: <HTTPError 403: 'Forbidden'> | reason: Forbidden
https://developer.salesforce.com/blogs/2020/01/accessibility-for-web-components.html,Accessibility for Web Components,https://github.com/web-padawan/awesome-web-components#readme,Web Components error: <HTTPError 403: 'Forbidden'> | reason: Forbidden
https://equinusocio.dev/blog/web-components-the-right-way/,Web Components — the right way,https://github.com/web-padawan/awesome-web-components#readme,Web Components error: <HTTPError 404: 'Not Found'> | reason: Not Found
https://nhswd.com/blog/web-components-101-what-are-web-components/,Web Components 101,https://github.com/web-padawan/awesome-web-components#readme,Web Components error: URLError(SSLCertVerificationError(1, "[SSL: CERTIFICATE_VERIFY_FAILED] certificate verify failed: Hostname mismatch, certificate is not valid for 'nhswd.com'. (_ssl.c:1018)")) | reason: [SSL: CERTIFICATE_VERIFY_FAILED] certificate verify failed: Hostname mismatch, certificate is not valid for 'nhswd.com'. (_ssl.c:1018)
https://itnext.io/a-deep-analysis-into-isomorphic-autonomous-cross-framework-usage-microfrontends-364271dc5fa9,A deep analysis into isomorphic, autonomous cross-framework usage #MicroFrontends,https://github.com/web-padawan/awesome-web-components#readme,Web Components error: URLError(SSLCertVerificationError(1, '[SSL: CERTIFICATE_VERIFY_FAILED] certificate verify failed: unable to get local issuer certificate (_ssl.c:1018)')) | reason: [SSL: CERTIFICATE_VERIFY_FAILED] certificate verify failed: unable to get local issuer certificate (_ssl.c:1018)
https://www.w3.org/TR/css-shadow-parts-1/,W3C First Public Working Draft,https://github.com/web-padawan/awesome-web-components#readme,Web Components error: <HTTPError 403: 'Forbidden'> | reason: Forbidden
https://www.voorhoede.nl/nl/blog/javascript-frameworks-meet-web-components/,JavaScript frameworks, meet Web Components,https://github.com/web-padawan/awesome-web-components#readme,Web Components error: <HTTPError 404: 'Not Found'> | reason: Not Found
https://www.fast.design/docs/resources/why-web-components/,Why Web Components?,https://github.com/web-padawan/awesome-web-components#readme,Web Components error: <HTTPError 404: 'Not Found'> | reason: Not Found
https://medium.com/@sergicontre/web-components-seamlessly-interoperable-82efd6989ca4,Web Components: Seamlessly interoperable,https://github.com/web-padawan/awesome-web-components#readme,Web Components error: <HTTPError 403: 'Forbidden'> | reason: Forbidden
https://codeburst.io/generating-config-driven-dynamic-forms-using-web-components-7c8d400f7f2e,Generating Config driven Dynamic Forms using Web Components,https://github.com/web-padawan/awesome-web-components#readme,Web Components error: URLError(SSLCertVerificationError(1, '[SSL: CERTIFICATE_VERIFY_FAILED] certificate verify failed: unable to get local issuer certificate (_ssl.c:1018)')) | reason: [SSL: CERTIFICATE_VERIFY_FAILED] certificate verify failed: unable to get local issuer certificate (_ssl.c:1018)
https://blog.revillweb.com/open-vs-closed-shadow-dom-9f3d7427d1af,Open vs. Closed Shadow DOM,https://github.com/web-padawan/awesome-web-components#readme,Web Components error: URLError(SSLCertVerificationError(1, '[SSL: CERTIFICATE_VERIFY_FAILED] certificate verify failed: unable to get local issuer certificate (_ssl.c:1018)')) | reason: [SSL: CERTIFICATE_VERIFY_FAILED] certificate verify failed: unable to get local issuer certificate (_ssl.c:1018)
