http://www.ourownthing.co.uk/fontpairing/,Google Font Pairing Tool,https://github.com/deanhume/typography#readme,Web Typography error: <HTTPError 404: 'Not Found'> | reason: Not Found
https://frontendnews.io/editions/2018-07-25-tips-for-loading-web-fonts,Tips for balancing web fonts & page load,https://github.com/deanhume/typography#readme,Web Typography error: <HTTPError 526: '<none>'> | reason: <none>
https://medium.com/product-design-ux-ui/26-digital-typography-rules-for-beginners-a04c6a5aaff3,26 digital typography rules for beginners,https://github.com/deanhume/typography#readme,Web Typography error: <HTTPError 403: 'Forbidden'> | reason: Forbidden
https://viljamis.com/2016/the-future-of-web-fonts/,The Future of Web Fonts,https://github.com/deanhume/typography#readme,Web Typography error: URLError(gaierror(11002, 'getaddrinfo failed')) | reason: [Errno 11002] getaddrinfo failed
https://briangardner.com/google-font-combinations/,Google Font Combinations,https://github.com/deanhume/typography#readme,Web Typography error: <HTTPError 403: 'Forbidden'> | reason: Forbidden
https://google-webfonts-helper.herokuapp.com/fonts/aguafina-script?subsets=latin,Google WebFonts Helper,https://github.com/deanhume/typography#readme,Web Typography error: <HTTPError 404: 'Not Found'> | reason: Not Found
http://typerendering.com/,Type Rendering Mix,https://github.com/deanhume/typography#readme,Web Typography error: URLError(gaierror(11001, 'getaddrinfo failed')) | reason: [Errno 11001] getaddrinfo failed
http://techdissected.com/web-and-computing/design/top-5-google-font-combinations/,Top 5 Google Fonts,https://github.com/deanhume/typography#readme,Web Typography error: <HTTPError 404: 'Not Found'> | reason: Not Found
http://typecast.com/blog/a-more-modern-scale-for-web-typography,A more modern scale for Web Typography,https://github.com/deanhume/typography#readme,Web Typography error: <HTTPError 403: 'Forbidden'> | reason: Forbidden
https://viljamis.com/2016/typography-for-user-interfaces/,Typography for User Interfaces,https://github.com/deanhume/typography#readme,Web Typography error: URLError(gaierror(11002, 'getaddrinfo failed')) | reason: [Errno 11002] getaddrinfo failed
https://viljamis.com/dashes/,Dashes in Web Typography,https://github.com/deanhume/typography#readme,Web Typography error: URLError(gaierror(11002, 'getaddrinfo failed')) | reason: [Errno 11002] getaddrinfo failed
