https://dl.acm.org/doi/abs/10.1145/2487575.2487579,Lou, et. al.,https://github.com/altamiracorp/awesome-xai#readme,XAI error: <HTTPError 403: 'Forbidden'> | reason: Forbidden
https://academic.oup.com/bioinformatics/article/24/13/i6/233341,POIMs,https://github.com/altamiracorp/awesome-xai#readme,XAI error: <HTTPError 403: 'Forbidden'> | reason: Forbidden
https://www.tandfonline.com/doi/abs/10.1080/10618600.2014.907095,ICE,https://github.com/altamiracorp/awesome-xai#readme,XAI error: <HTTPError 403: 'Forbidden'> | reason: Forbidden
https://dl.acm.org/doi/abs/10.1145/2858036.2858529,Prospector,https://github.com/altamiracorp/awesome-xai#readme,XAI error: <HTTPError 403: 'Forbidden'> | reason: Forbidden
https://rss.onlinelibrary.wiley.com/doi/abs/10.1111/rssb.12377,ALE,https://github.com/altamiracorp/awesome-xai#readme,XAI error: <HTTPError 403: 'Forbidden'> | reason: Forbidden
https://www.academia.edu/download/2471122/3uecwtv9xcwxg6r.pdf,SVM+P,https://github.com/altamiracorp/awesome-xai#readme,XAI error: <HTTPError 403: 'Forbidden'> | reason: Forbidden
https://content.iospress.com/articles/ai-communications/aic272,REFNE,https://github.com/altamiracorp/awesome-xai#readme,XAI error: <HTTPError 403: 'Forbidden'> | reason: Forbidden
https://dl.acm.org/doi/abs/10.1145/3097983.3098039,Tolomei, et. al.,https://github.com/altamiracorp/awesome-xai#readme,XAI error: <HTTPError 403: 'Forbidden'> | reason: Forbidden
https://www.researchgate.net/profile/Edward-George-2/publication/2610587_Making_Sense_of_a_Forest_of_Trees/links/55b1085d08aec0e5f430eb40/Making-Sense-of-a-Forest-of-Trees.pdf,Tree Metrics,https://github.com/altamiracorp/awesome-xai#readme,XAI error: <HTTPError 403: 'Forbidden'> | reason: Forbidden
https://www.sciencedirect.com/science/article/abs/pii/S0304380002000649,NID,https://github.com/altamiracorp/awesome-xai#readme,XAI error: <HTTPError 400: 'Bad Request'> | reason: Bad Request
https://www.academia.edu/download/51462700/s0362-546x_2896_2900267-220170122-9600-1njrpyx.pdf,G-REX,https://github.com/altamiracorp/awesome-xai#readme,XAI error: <HTTPError 403: 'Forbidden'> | reason: Forbidden
https://citeseerx.ist.psu.edu/viewdoc/download?doi=10.1.1.40.2710&rep=rep1&type=pdf,CMM,https://github.com/altamiracorp/awesome-xai#readme,XAI error: URLError(SSLCertVerificationError(1, '[SSL: CERTIFICATE_VERIFY_FAILED] certificate verify failed: unable to get local issuer certificate (_ssl.c:1018)')) | reason: [SSL: CERTIFICATE_VERIFY_FAILED] certificate verify failed: unable to get local issuer certificate (_ssl.c:1018)
https://dl.acm.org/doi/abs/10.1145/3077257.3077271,PALM,https://github.com/altamiracorp/awesome-xai#readme,XAI error: <HTTPError 403: 'Forbidden'> | reason: Forbidden
https://www.sciencedirect.com/science/article/pii/B9781558603356500131,Conj Rules,https://github.com/altamiracorp/awesome-xai#readme,XAI error: <HTTPError 400: 'Bad Request'> | reason: Bad Request
https://dl.acm.org/doi/abs/10.1145/3412815.3416893,TSP,https://github.com/altamiracorp/awesome-xai#readme,XAI error: <HTTPError 403: 'Forbidden'> | reason: Forbidden
https://www.sciencedirect.com/science/article/abs/pii/S0031320398001812,Krishnan, et. al.,https://github.com/altamiracorp/awesome-xai#readme,XAI error: <HTTPError 400: 'Bad Request'> | reason: Bad Request
https://dl.acm.org/doi/abs/10.1145/2939672.2939778,LIME,https://github.com/altamiracorp/awesome-xai#readme,XAI error: <HTTPError 403: 'Forbidden'> | reason: Forbidden
https://dl.acm.org/doi/abs/10.1145/775047.775113,DecText,https://github.com/altamiracorp/awesome-xai#readme,XAI error: <HTTPError 403: 'Forbidden'> | reason: Forbidden
https://dl.acm.org/doi/abs/10.1145/1014052.1014122,VIN,https://github.com/altamiracorp/awesome-xai#readme,XAI error: <HTTPError 403: 'Forbidden'> | reason: Forbidden
https://www.sciencedirect.com/science/article/pii/S0031320316303582,DTD,https://github.com/altamiracorp/awesome-xai#readme,XAI error: <HTTPError 400: 'Bad Request'> | reason: Bad Request
https://www.aaai.org/Papers/IAAI/2006/IAAI06-018.pdf,ExplainD,https://github.com/altamiracorp/awesome-xai#readme,XAI error: <HTTPError 403: 'Forbidden'> | reason: Forbidden
